county,rate,num1,num2,num3
Plumas,106.8375,29.11,569.13,53.42
Calaveras,38.9875,10.6225,207.685,19.4925
Santa Barbara,2.77,0.755,14.76,1.385
Orange,0.95,0.26,3.315,0.475
California,0.23,0.085,0.5,0.095
Los Angeles,0.15,0.04,0.795,0.075
Alameda,0.0,0.0,3.91,0.0
Alpine,0.0,0.0,5949.81,0.0
Amador,0.0,0.0,210.79,0.0
Butte,0.0,0.0,23.34,0.0
Colusa,0.0,0.0,233.03,0.0
Contra Costa,0.0,0.0,5.08,0.0
Del Norte,0.0,0.0,236.01,0.0
El Dorado,0.0,0.0,31.46,0.0
Fresno,0.0,0.0,5.08,0.0
Glenn,0.0,0.0,181.36,0.0
Humboldt,0.0,0.0,41.18,0.0
Imperial,0.0,0.0,27.24,0.0
Inyo,0.0,0.0,354.02,0.0
Kern,0.0,0.0,5.58,0.0
Kings,0.0,0.0,34.75,0.0
Lake,0.0,0.0,106.62,0.0
Lassen,0.0,0.0,210.07,0.0
Madera,0.0,0.0,32.72,0.0
Marin,0.0,0.0,26.19,0.0
Mariposa,0.0,0.0,420.62,0.0
Mendocino,0.0,0.0,73.16,0.0
Merced,0.0,0.0,16.03,0.0
Modoc,0.0,0.0,716.29,0.0
Mono,0.0,0.0,492.51,0.0
Monterey,0.0,0.0,12.28,0.0
Napa,0.0,0.0,40.49,0.0
Nevada,0.0,0.0,71.1,0.0
Placer,0.0,0.0,15.23,0.0
Riverside,0.0,0.0,2.07,0.0
Sacramento,0.0,0.0,3.87,0.0
San Benito,0.0,0.0,83.12,0.0
San Bernardino,0.0,0.0,2.29,0.0
San Diego,0.0,0.0,1.75,0.0
San Francisco,0.0,0.0,12.06,0.0
San Joaquin,0.0,0.0,6.69,0.0
San Luis Obispo,0.0,0.0,17.06,0.0
San Mateo,0.0,0.0,9.09,0.0
Santa Clara,0.0,0.0,3.25,0.0
Santa Cruz,0.0,0.0,16.54,0.0
Shasta,0.0,0.0,34.35,0.0
Sierra,0.0,0.0,2712.41,0.0
Siskiyou,0.0,0.0,146.85,0.0
Solano,0.0,0.0,13.43,0.0
Sonoma,0.0,0.0,12.12,0.0
Stanislaus,0.0,0.0,9.31,0.0
Sutter,0.0,0.0,54.92,0.0
Tehama,0.0,0.0,91.9,0.0
Trinity,0.0,0.0,590.22,0.0
Tulare,0.0,0.0,10.03,0.0
Tuolumne,0.0,0.0,137.03,0.0
Ventura,0.0,0.0,6.32,0.0
Yolo,0.0,0.0,19.11,0.0
Yuba,0.0,0.0,74.9,0.0
Unknown,,0.0,,
