county,rate,num1,num2,num3
Sonoma,6.72,1.83,23.4,3.36
Marin,6.6275,1.805,35.3075,3.315
San Mateo,4.855,1.32,16.905,2.425
San Francisco,3.235,0.88,17.2275,1.6175
Alameda,3.2025,0.87,9.1975,1.605
Santa Barbara,2.745,0.7475,14.625,1.3725
Sacramento,2.1075,0.91,7.0675,0.745
San Diego,1.93,0.6825,4.8175,0.8275
Riverside,1.695,0.6425,4.71,0.6825
Kern,1.505,0.41,8.0275,0.7525
Los Angeles,1.43,0.68,2.695,0.465
California,1.375,0.965,1.9025,0.2275
Contra Costa,1.37,0.3725,7.2925,0.685
San Bernardino,1.275,0.35,4.45,0.64
Orange,0.975,0.265,3.4,0.49
Alpine,0.0,0.0,5269.83,0.0
Amador,0.0,0.0,220.63,0.0
Butte,0.0,0.0,23.55,0.0
Calaveras,0.0,0.0,159.48,0.0
Colusa,0.0,0.0,230.84,0.0
Del Norte,0.0,0.0,249.42,0.0
El Dorado,0.0,0.0,33.22,0.0
Fresno,0.0,0.0,5.14,0.0
Glenn,0.0,0.0,191.93,0.0
Humboldt,0.0,0.0,41.43,0.0
Imperial,0.0,0.0,27.2,0.0
Inyo,0.0,0.0,397.51,0.0
Kings,0.0,0.0,36.29,0.0
Lake,0.0,0.0,107.77,0.0
Lassen,0.0,0.0,243.49,0.0
Madera,0.0,0.0,33.17,0.0
Mariposa,0.0,0.0,483.47,0.0
Mendocino,0.0,0.0,73.87,0.0
Merced,0.0,0.0,15.46,0.0
Modoc,0.0,0.0,848.02,0.0
Mono,0.0,0.0,491.85,0.0
Monterey,0.0,0.0,11.98,0.0
Napa,0.0,0.0,42.09,0.0
Nevada,0.0,0.0,75.76,0.0
Placer,0.0,0.0,15.06,0.0
Plumas,0.0,0.0,398.37,0.0
San Benito,0.0,0.0,83.5,0.0
San Joaquin,0.0,0.0,6.63,0.0
San Luis Obispo,0.0,0.0,17.16,0.0
Santa Clara,0.0,0.0,3.21,0.0
Santa Cruz,0.0,0.0,16.45,0.0
Shasta,0.0,0.0,35.43,0.0
Sierra,0.0,0.0,3207.72,0.0
Siskiyou,0.0,0.0,156.64,0.0
Solano,0.0,0.0,13.85,0.0
Stanislaus,0.0,0.0,9.37,0.0
Sutter,0.0,0.0,56.12,0.0
Tehama,0.0,0.0,94.06,0.0
Trinity,0.0,0.0,657.55,0.0
Tulare,0.0,0.0,9.87,0.0
Tuolumne,0.0,0.0,147.79,0.0
Ventura,0.0,0.0,6.55,0.0
Yolo,0.0,0.0,17.29,0.0
Yuba,0.0,0.0,72.46,0.0
Unknown,,0.0,,
