year,age,deaths,population,rate
2015,15-24 years,30,5484894,0.5
2015,25-34 years,55,5835694,0.9
2015,35-44 years,38,5187676,0.7
2015,45-54 years,46,5246813,0.9
2015,55-64 years,39,4629863,0.8
2015,65-74 years,15,2977403,0.5
2016,15-24 years,54,5392177,1.0
2016,25-34 years,86,5917785,1.5
2016,35-44 years,72,5159932,1.4
2016,45-54 years,66,5195297,1.3
2016,55-64 years,54,4688718,1.2
2016,65-74 years,21,3089002,0.7
2017,15-24 years,70,5330443,1.3
2017,25-34 years,170,6023779,2.8
2017,35-44 years,108,5223062,2.1
2017,45-54 years,74,5162688,1.4
2017,55-64 years,77,4762678,1.6
2017,65-74 years,30,3195800,0.9
2018,15-24 years,119,5257175,2.3
2018,25-34 years,294,6043799,4.9
2018,35-44 years,187,5255671,3.6
2018,45-54 years,128,5071974,2.5
2018,55-64 years,94,4781226,2.0
2018,65-74 years,35,3285414,1.1
2019,15-24 years,324,5180973,6.3
2019,25-34 years,541,6052952,8.9
2019,35-44 years,342,5282100,6.5
2019,45-54 years,216,4979745,4.3
2019,55-64 years,179,4786635,3.7
2019,65-74 years,62,3386670,1.8
2020,15-24 years,784,5111453,15.3
2020,25-34 years,1201,6017057,20.0
2020,35-44 years,799,5305749,15.1
2020,45-54 years,613,4910948,12.5
2020,55-64 years,456,4762421,9.6
2020,65-74 years,123,3469545,3.5
2021,15-24 years,791,5110081,15.5
2021,25-34 years,1770,5839642,30.3
2021,35-44 years,1410,5406441,26.1
2021,45-54 years,974,4927546,19.8
2021,55-64 years,830,4777732,17.4
2021,65-74 years,241,3558013,6.8
