2015	15-24 years	30	5,484,894	0.5
2015	25-34 years	55	5,835,694	0.9
2015	35-44 years	38	5,187,676	0.7
2015	45-54 years	46	5,246,813	0.9
2015	55-64 years	39	4,629,863	0.8
2015	65-74 years	15	2,977,403	Unreliable
2016	15-24 years	54	5,392,177	1.0
2016	25-34 years	86	5,917,785	1.5
2016	35-44 years	72	5,159,932	1.4
2016	45-54 years	66	5,195,297	1.3
2016	55-64 years	54	4,688,718	1.2
2016	65-74 years	21	3,089,002	0.7
2017	15-24 years	70	5,330,443	1.3
2017	25-34 years	170	6,023,779	2.8
2017	35-44 years	108	5,223,062	2.1
2017	45-54 years	74	5,162,688	1.4
2017	55-64 years	77	4,762,678	1.6
2017	65-74 years	30	3,195,800	0.9
2018	15-24 years	119	5,257,175	2.3
2018	25-34 years	294	6,043,799	4.9
2018	35-44 years	187	5,255,671	3.6
2018	45-54 years	128	5,071,974	2.5
2018	55-64 years	94	4,781,226	2.0
2018	65-74 years	35	3,285,414	1.1
2019	15-24 years	324	5,180,973	6.3
2019	25-34 years	541	6,052,952	8.9
2019	35-44 years	342	5,282,100	6.5
2019	45-54 years	216	4,979,745	4.3
2019	55-64 years	179	4,786,635	3.7
2019	65-74 years	62	3,386,670	1.8
2020	15-24 years	784	5,111,453	15.3
2020	25-34 years	1,201	6,017,057	20.0
2020	35-44 years	799	5,305,749	15.1
2020	45-54 years	613	4,910,948	12.5
2020	55-64 years	456	4,762,421	9.6
2020	65-74 years	123	3,469,545	3.5
2021	15-24 years	791	5,110,081	15.5
2021	25-34 years	1,770	5,839,642	30.3
2021	35-44 years	1,410	5,406,441	26.1
2021	45-54 years	974	4,927,546	19.8
2021	55-64 years	830	4,777,732	17.4
2021	65-74 years	241	3,558,013	6.8
