2013	15-24 years	50	5,586,402	0.9
2013	25-34 years	163	5,591,286	2.9
2013	35-44 years	196	5,149,410	3.8
2013	45-54 years	371	5,212,165	7.1
2013	55-64 years	233	4,403,436	5.3
2013	65-74 years	25	2,688,985	0.9
2014	15-24 years	60	5,551,583	1.1
2014	25-34 years	154	5,723,386	2.7
2014	35-44 years	197	5,175,338	3.8
2014	45-54 years	397	5,243,544	7.6
2014	55-64 years	283	4,519,600	6.3
2014	65-74 years	43	2,834,360	1.5
2015	15-24 years	82	5,484,894	1.5
2015	25-34 years	211	5,835,694	3.6
2015	35-44 years	277	5,187,676	5.3
2015	45-54 years	453	5,246,813	8.6
2015	55-64 years	349	4,629,863	7.5
2015	65-74 years	88	2,977,403	3.0
2016	15-24 years	99	5,392,177	1.8
2016	25-34 years	254	5,917,785	4.3
2016	35-44 years	291	5,159,932	5.6
2016	45-54 years	452	5,195,297	8.7
2016	55-64 years	389	4,688,718	8.3
2016	65-74 years	88	3,089,002	2.8
2017	15-24 years	92	5,330,443	1.7
2017	25-34 years	331	6,023,779	5.5
2017	35-44 years	339	5,223,062	6.5
2017	45-54 years	538	5,162,688	10.4
2017	55-64 years	488	4,762,678	10.2
2017	65-74 years	121	3,195,800	3.8
2018	15-24 years	89	5,257,175	1.7
2018	25-34 years	384	6,043,799	6.4
2018	35-44 years	456	5,255,671	8.7
2018	45-54 years	652	5,071,974	12.9
2018	55-64 years	646	4,781,226	13.5
2018	65-74 years	161	3,285,414	4.9
2019	15-24 years	118	5,180,973	2.3
2019	25-34 years	447	6,052,952	7.4
2019	35-44 years	543	5,282,100	10.3
2019	45-54 years	759	4,979,745	15.2
2019	55-64 years	776	4,786,635	16.2
2019	65-74 years	202	3,386,670	6.0
2020	15-24 years	190	5,111,453	3.7
2020	25-34 years	770	6,017,057	12.8
2020	35-44 years	939	5,305,749	17.7
2020	45-54 years	1,067	4,910,948	21.7
2020	55-64 years	1,095	4,762,421	23.0
2020	65-74 years	326	3,469,545	9.4
2021	15-24 years	213	5,110,081	4.2
2021	25-34 years	1,097	5,839,642	18.8
2021	35-44 years	1,270	5,406,441	23.5
2021	45-54 years	1,293	4,927,546	26.2
2021	55-64 years	1,444	4,777,732	30.2
2021	65-74 years	396	3,558,013	11.1
