year,age,deaths,population,rate
2018,15-24 years,261,5257175,5.0
2018,25-34 years,782,6043799,12.9
2018,35-44 years,718,5255671,13.7
2018,45-54 years,946,5071974,18.7
2018,55-64 years,976,4781226,20.4
2018,65-74 years,277,3285414,8.4
2019,15-24 years,444,5180973,8.6
2019,25-34 years,981,6052952,16.2
2019,35-44 years,935,5282100,17.7
2019,45-54 years,1055,4979745,21.2
2019,55-64 years,1117,4786635,23.3
2019,65-74 years,362,3386670,10.7
2020,15-24 years,896,5111453,17.5
2020,25-34 years,1673,6017057,27.8
2020,35-44 years,1515,5305749,28.6
2020,45-54 years,1492,4910948,30.4
2020,55-64 years,1547,4762421,32.5
2020,65-74 years,497,3469545,14.3
2021,15-24 years,868,5110081,17.0
2021,25-34 years,2176,5839642,37.3
2021,35-44 years,2004,5406441,37.1
2021,45-54 years,1846,4927546,37.5
2021,55-64 years,1972,4777732,41.3
2021,65-74 years,670,3558013,18.8
2013,15-24 years,203,5586402,3.6
2013,25-34 years,452,5591286,8.1
2013,35-44 years,473,5149410,9.2
2013,45-54 years,786,5212165,15.1
2013,55-64 years,626,4403436,14.2
2013,65-74 years,130,2688985,4.8
2014,15-24 years,206,5551583,3.7
2014,25-34 years,459,5723386,8.0
2014,35-44 years,461,5175338,8.9
2014,45-54 years,793,5243544,15.1
2014,55-64 years,697,4519600,15.4
2014,65-74 years,171,2834360,6.0
2015,15-24 years,219,5484894,4.0
2015,25-34 years,505,5835694,8.7
2015,35-44 years,538,5187676,10.4
2015,45-54 years,798,5246813,15.2
2015,55-64 years,755,4629863,16.3
2015,65-74 years,199,2977403,6.7
2016,15-24 years,260,5392177,4.8
2016,25-34 years,537,5917785,9.1
2016,35-44 years,521,5159932,10.1
2016,45-54 years,742,5195297,14.3
2016,55-64 years,787,4688718,16.8
2016,65-74 years,206,3089002,6.7
2017,15-24 years,244,5330443,4.6
2017,25-34 years,697,6023779,11.6
2017,35-44 years,599,5223062,11.5
2017,45-54 years,822,5162688,15.9
2017,55-64 years,855,4762678,18.0
2017,65-74 years,250,3195800,7.8
