2018	15-24 years	261	5,257,175	5.0
2018	25-34 years	782	6,043,799	12.9
2018	35-44 years	718	5,255,671	13.7
2018	45-54 years	946	5,071,974	18.7
2018	55-64 years	976	4,781,226	20.4
2018	65-74 years	277	3,285,414	8.4
2019	15-24 years	444	5,180,973	8.6
2019	25-34 years	981	6,052,952	16.2
2019	35-44 years	935	5,282,100	17.7
2019	45-54 years	1,055	4,979,745	21.2
2019	55-64 years	1,117	4,786,635	23.3
2019	65-74 years	362	3,386,670	10.7
2020	15-24 years	896	5,111,453	17.5
2020	25-34 years	1,673	6,017,057	27.8
2020	35-44 years	1,515	5,305,749	28.6
2020	45-54 years	1,492	4,910,948	30.4
2020	55-64 years	1,547	4,762,421	32.5
2020	65-74 years	497	3,469,545	14.3
2021	15-24 years	868	5,110,081	17.0
2021	25-34 years	2,176	5,839,642	37.3
2021	35-44 years	2,004	5,406,441	37.1
2021	45-54 years	1,846	4,927,546	37.5
2021	55-64 years	1,972	4,777,732	41.3
2021	65-74 years	670	3,558,013	18.8
2013	15-24 years	203	5,586,402	3.6
2013	25-34 years	452	5,591,286	8.1
2013	35-44 years	473	5,149,410	9.2
2013	45-54 years	786	5,212,165	15.1
2013	55-64 years	626	4,403,436	14.2
2013	65-74 years	130	2,688,985	4.8
2014	15-24 years	206	5,551,583	3.7
2014	25-34 years	459	5,723,386	8.0
2014	35-44 years	461	5,175,338	8.9
2014	45-54 years	793	5,243,544	15.1
2014	55-64 years	697	4,519,600	15.4
2014	65-74 years	171	2,834,360	6.0
2015	15-24 years	219	5,484,894	4.0
2015	25-34 years	505	5,835,694	8.7
2015	35-44 years	538	5,187,676	10.4
2015	45-54 years	798	5,246,813	15.2
2015	55-64 years	755	4,629,863	16.3
2015	65-74 years	199	2,977,403	6.7
2016	15-24 years	260	5,392,177	4.8
2016	25-34 years	537	5,917,785	9.1
2016	35-44 years	521	5,159,932	10.1
2016	45-54 years	742	5,195,297	14.3
2016	55-64 years	787	4,688,718	16.8
2016	65-74 years	206	3,089,002	6.7
2017	15-24 years	244	5,330,443	4.6
2017	25-34 years	697	6,023,779	11.6
2017	35-44 years	599	5,223,062	11.5
2017	45-54 years	822	5,162,688	15.9
2017	55-64 years	855	4,762,678	18.0
2017	65-74 years	250	3,195,800	7.8
