Year,Gender,Age,Deaths,Population,Crude Rate
2021,Female,15-24 years,201,2494647,8.1
2021,Female,25-34 years,323,2839969,11.4
2021,Female,35-44 years,256,2638675,9.7
2021,Female,45-54 years,233,2446639,9.5
2021,Female,55-64 years,196,2411891,8.1
2021,Female,65-74 years,59,1882333,3.1
2021,Male,15-24 years,590,2615434,22.6
2021,Male,25-34 years,1447,2999673,48.2
2021,Male,35-44 years,1154,2767766,41.7
2021,Male,45-54 years,741,2480907,29.9
2021,Male,55-64 years,634,2365841,26.8
2021,Male,65-74 years,182,1675680,10.9
