California Deaths by County -Total Population - 2016 ,,,,
Fentanyl-Related Overdose  : Crude Rate per 100k Residents,,,,
County,Rates,95% LCL,95% UCL,Counts
Alameda,0.545,0.27,1.022,9
Alpine,0,0,344.43,0
Amador,2.675,0.73,14.252,1
Butte,0.44,0.12,2.35,1
Calaveras,4.428,1.913,14.852,2
California,0.608,0.538,0.692,239
Colusa,0,0,17.09,0
Contra Costa,0.35,0.125,0.878,4
Del Norte,3.63,0.99,19.34,1
El Dorado,0.538,0.148,2.872,1
Fresno,0.41,0.142,1.022,4
Glenn,0,0,13.13,0
Humboldt,0.732,0.2,3.898,1
Imperial,0,0,2.04,0
Inyo,5.513,1.502,29.36,1
Kern,0.225,0.098,0.76,2
Kings,0,0,2.46,0
Lake,1.56,0.425,8.305,1
Lassen,0,0,11.95,0
Los Angeles,0.572,0.438,0.735,58
Madera,0,0,2.38,0
Marin,0.382,0.105,2.047,1
Mariposa,0,0,21.19,0
Mendocino,1.14,0.31,6.08,1
Merced,1.117,0.425,3.105,3
Modoc,0,0,41.94,0
Mono,0,0,26.38,0
Monterey,0.23,0.062,1.225,1
Napa,0,0,2.59,0
Nevada,1.01,0.275,5.373,1
Orange,1.04,0.722,1.455,33
Placer,0.525,0.145,1.83,2
Plumas,0,0,19.8,0
Riverside,0.42,0.228,0.745,10
Sacramento,0.857,0.507,1.423,13
San Benito,0,0,6.21,0
San Bernardino,0.235,0.078,0.545,5
San Diego,0.902,0.612,1.288,30
San Francisco,1.84,1.087,2.952,16
San Joaquin,0.685,0.288,1.54,5
San Luis Obispo,0,0,1.3,0
San Mateo,0.26,0.07,0.91,2
Santa Barbara,0.45,0.12,1.565,2
Santa Clara,0.522,0.285,0.928,10
Santa Cruz,0.73,0.2,2.535,2
Shasta,0.558,0.152,2.962,1
Sierra,0,0,125.17,0
Siskiyou,2.292,0.625,12.218,1
Solano,0,0,0.84,0
Sonoma,0.8,0.22,2.04,4
Stanislaus,0.185,0.05,0.982,1
Sutter,0,0,3.82,0
Tehama,0,0,5.83,0
Trinity,7.822,2.132,41.677,1
Tulare,0,0,0.8,0
Tuolumne,1.857,0.507,9.902,1
Unknown,NaN,0,NaN,0
Ventura,0.47,0.205,1.145,4
Yolo,0.928,0.4,3.107,2
Yuba,1.327,0.362,7.078,1
Source: CDPH Center for Health Statistics and Informatics Vital Statistics - Multiple Cause of Death or California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,08.13.2023,,
