county,population
Alameda County,1650752
Alpine County,1146
Amador County,37125
Butte County,225834
Calaveras County,44656
Colusa County,22021
Contra Costa County,1137047
Del Norte County,26545
El Dorado County,185442
Fresno County,998099
Glenn County,28481
Humboldt County,135141
Imperial County,186968
Inyo County,18565
Kern County,892933
Kings County,150300
Lake County,64627
Lassen County,29756
Los Angeles County,10222857
Madera County,156077
Marin County,262313
Mariposa County,17992
Mendocino County,88749
Merced County,275186
Modoc County,9480
Mono County,13634
Monterey County,439822
Napa County,140986
Nevada County,97821
Orange County,3188779
Placer County,383058
Plumas County,18369
Riverside County,2382791
Sacramento County,1518307
San Benito County,59737
San Bernardino County,2147398
San Diego County,3315358
San Francisco County,887383
San Joaquin County,747517
San Luis Obispo County,277821
San Mateo County,772567
Santa Barbara County,448099
Santa Clara County,1949735
Santa Cruz County,274574
Shasta County,177998
Sierra County,3149
Siskiyou County,44233
Solano County,436316
Sonoma County,502758
Stanislaus County,548252
Sutter County,99130
Tehama County,64020
Trinity County,13454
Tulare County,470746
Tuolumne County,52862
Ventura County,848624
Yolo County,218617
Yuba County,76423
