California Deaths by County -Total Population - 2020 ,,,,
Prescription Opioid-Related Overdose (excl Synthetics) : Crude Rate per 100k Residents,,,,
County,Rates,95% LCL,95% UCL,Counts
Alameda,2.14,1.502,2.958,36
Alpine,0,0,329.95,0
Amador,4.985,1.36,17.355,2
Butte,2.715,1.025,5.89,6
Calaveras,2.178,0.592,11.6,1
California,3.038,2.869,3.215,1205
Colusa,13.815,3.765,39.625,3
Contra Costa,2.678,1.822,3.788,31
Del Norte,3.575,0.975,19.047,1
El Dorado,6.643,3.69,11.225,13
Fresno,2.083,1.302,3.17,21
Glenn,3.498,0.952,18.628,1
Humboldt,10.383,5.825,17.282,14
Imperial,2.185,0.945,5.32,4
Inyo,0,0,20.4,0
Kern,8.14,6.39,10.21,74
Kings,2.58,0.908,6.435,4
Lake,10.85,5.077,21.775,7
Lassen,6.49,1.77,22.595,2
Los Angeles,1.87,1.607,2.152,187
Madera,2.52,0.89,6.297,4
Marin,3.1,1.34,6.11,8
Mariposa,5.81,1.582,30.957,1
Mendocino,6.92,2.62,14.995,6
Merced,3.905,2.185,6.79,11
Modoc,0,0,41.68,0
Mono,0,0,25.56,0
Monterey,0.69,0.26,1.918,3
Napa,0.728,0.198,3.882,1
Nevada,9.018,4.242,17.012,9
Orange,4.178,3.503,4.945,133
Placer,3.218,1.745,5.467,13
Plumas,0,0,19.42,0
Riverside,3.05,2.405,3.815,76
Sacramento,2.552,1.838,3.458,40
San Benito,1.562,0.425,8.32,1
San Bernardino,0.955,0.61,1.445,21
San Diego,3.342,2.757,4.018,112
San Francisco,7.63,5.93,9.675,67
San Joaquin,4.27,2.963,5.978,33
San Luis Obispo,7.415,4.803,11.145,21
San Mateo,2.863,1.842,4.293,22
Santa Barbara,1.117,0.445,2.538,5
Santa Clara,2.33,1.702,3.117,45
Santa Cruz,2.198,1.155,4.497,6
Shasta,5.532,2.848,10.008,10
Sierra,0,0,121.99,0
Siskiyou,11.49,4.812,25.933,5
Solano,3.328,1.935,5.423,15
Sonoma,5.277,3.46,7.723,26
Stanislaus,3.96,2.502,5.98,22
Sutter,5.05,2.02,11.475,5
Tehama,0,0,5.62,0
Trinity,0,0,30.17,0
Tulare,2.337,1.203,4.155,11
Tuolumne,0,0,6.79,0
Unknown,NaN,0,NaN,21
Ventura,4.852,3.502,6.562,41
Yolo,0.902,0.39,3.022,2
Yuba,2.5,1.08,8.385,2
Source: CDPH Center for Health Statistics and Informatics Vital Statistics - Multiple Cause of Death or California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,08.13.2023,,
