County	Age	Population
Alameda County	15	20,375 
Alameda County	16	20,306
Alameda County	17	20,498
Alameda County	18	22,454
Alameda County	19	24,029
Alameda County	20	24,387
Alameda County	21	23,863
Alameda County	22	23,689
Alameda County	23	24,102
Alameda County	24	24,583
Alpine County	15	17
Alpine County	16	13
Alpine County	17	14
Alpine County	18	17
Alpine County	19	15
Alpine County	20	13
Alpine County	21	18
Alpine County	22	13
Alpine County	23	12
Alpine County	24	14
Amador County	15	331
Amador County	16	362
Amador County	17	437
Amador County	18	428
Amador County	19	344
Amador County	20	452
Amador County	21	450
Amador County	22	431
Amador County	23	458
Amador County	24	465
Butte County	15	2,976
Butte County	16	2,937
Butte County	17	2,944
Butte County	18	3,944
Butte County	19	5,076
Butte County	20	5,978
Butte County	21	5,758
Butte County	22	5,373
Butte County	23	4,917
Butte County	24	4,331
Calaveras County	15	438
Calaveras County	16	456
Calaveras County	17	455
Calaveras County	18	451
Calaveras County	19	466
Calaveras County	20	493
Calaveras County	21	505
Calaveras County	22	503
Calaveras County	23	539
Calaveras County	24	527
Colusa County	15	387
Colusa County	16	364
Colusa County	17	356
Colusa County	18	341
Colusa County	19	331
Colusa County	20	350
Colusa County	21	335
Colusa County	22	333
Colusa County	23	316
Colusa County	24	300
Contra Costa County	15	15,151
Contra Costa County	16	14,823
Contra Costa County	17	14,466
Contra Costa County	18	13,865
Contra Costa County	19	13,469
Contra Costa County	20	12,957
Contra Costa County	21	12,894
Contra Costa County	22	12,878
Contra Costa County	23	13,033
Contra Costa County	24	13,211
Del Norte County	15	339
Del Norte County	16	277
Del Norte County	17	302
Del Norte County	18	297
Del Norte County	19	344
Del Norte County	20	407
Del Norte County	21	428
Del Norte County	22	399
Del Norte County	23	394
Del Norte County	24	458
El Dorado County	15	2,653
El Dorado County	16	2,558
El Dorado County	17	2,611
El Dorado County	18	2,606
El Dorado County	19	2,687
El Dorado County	20	2,630
El Dorado County	21	2,698
El Dorado County	22	2,659
El Dorado County	23	2,605
El Dorado County	24	2,636
Fresno County	15	15,876
Fresno County	16	15,419
Fresno County	17	15,590
Fresno County	18	17,260
Fresno County	19	18,033
Fresno County	20	18,782
Fresno County	21	18,146
Fresno County	22	17,427
Fresno County	23	17,010
Fresno County	24	16,614
Glenn County	15	474
Glenn County	16	452
Glenn County	17	418
Glenn County	18	396
Glenn County	19	416
Glenn County	20	426
Glenn County	21	425
Glenn County	22	451
Glenn County	23	438
Glenn County	24	391
Humboldt County	15	1,759
Humboldt County	16	1,739
Humboldt County	17	1,720
Humboldt County	18	2,328
Humboldt County	19	2,451
Humboldt County	20	3,169
Humboldt County	21	2,433
Humboldt County	22	2,144
Humboldt County	23	2,435
Humboldt County	24	2,292
Imperial County	15	2,824
Imperial County	16	2,844
Imperial County	17	2,948
Imperial County	18	2,769
Imperial County	19	2,807
Imperial County	20	2,900
Imperial County	21	3,040
Imperial County	22	2,995
Imperial County	23	2,982
Imperial County	24	3,088
Inyo County	15	240
Inyo County	16	234
Inyo County	17	213
Inyo County	18	187
Inyo County	19	187
Inyo County	20	168
Inyo County	21	183
Inyo County	22	199
Inyo County	23	157
Inyo County	24	199
Kern County	15	14,580
Kern County	16	14,119
Kern County	17	14,079
Kern County	18	14,740
Kern County	19	14,899
Kern County	20	15,918
Kern County	21	15,883
Kern County	22	15,332
Kern County	23	15,198
Kern County	24	15,101
Kings County	15	2,815
Kings County	16	2,740
Kings County	17	2,534
Kings County	18	2,446
Kings County	19	2,476
Kings County	20	2,663
Kings County	21	2,640
Kings County	22	2,678
Kings County	23	2,668
Kings County	24	2,627
Lake County	15	771
Lake County	16	750
Lake County	17	744
Lake County	18	722
Lake County	19	710
Lake County	20	731
Lake County	21	736
Lake County	22	717
Lake County	23	727
Lake County	24	761
Lassen County	15	273
Lassen County	16	255
Lassen County	17	262
Lassen County	18	318
Lassen County	19	318
Lassen County	20	465
Lassen County	21	514
Lassen County	22	560
Lassen County	23	549
Lassen County	24	575
Los Angeles County	15	130,086
Los Angeles County	16	129,344
Los Angeles County	17	129,844
Los Angeles County	18	140,768
Los Angeles County	19	147,110
Los Angeles County	20	151,102
Los Angeles County	21	150,864
Los Angeles County	22	147,115
Los Angeles County	23	145,327
Los Angeles County	24	144,514
Madera County	15	2,423
Madera County	16	2,399
Madera County	17	2,395
Madera County	18	2,334
Madera County	19	2,406
Madera County	20	2,568
Madera County	21	2,550
Madera County	22	2,544
Madera County	23	2,531
Madera County	24	2,542
Marin County	15	3,421
Marin County	16	3,579
Marin County	17	3,327
Marin County	18	3,068
Marin County	19	2,840
Marin County	20	2,600
Marin County	21	2,462
Marin County	22	2,398
Marin County	23	2,340
Marin County	24	2,452
Mariposa County	15	139
Mariposa County	16	183
Mariposa County	17	161
Mariposa County	18	166
Mariposa County	19	172
Mariposa County	20	171
Mariposa County	21	199
Mariposa County	22	201
Mariposa County	23	193
Mariposa County	24	221
Mendocino County	15	1,106
Mendocino County	16	1,026
Mendocino County	17	1,087
Mendocino County	18	1,029
Mendocino County	19	1,038
Mendocino County	20	1,064
Mendocino County	21	1,023
Mendocino County	22	1,017
Mendocino County	23	1,059
Mendocino County	24	982
Merced County	15	4,954
Merced County	16	4,830
Merced County	17	4,876
Merced County	18	5,293
Merced County	19	5,470
Merced County	20	5,652
Merced County	21	5,274
