Year,Gender,Age,Deaths,Population,Crude Rate
2013,Female,25-34 years,89,2714442,3.3
2013,Female,35-44 years,146,2563651,5.7
2013,Female,45-54 years,292,2615560,11.2
2013,Female,55-64 years,218,2275101,9.6
2013,Female,65-74 years,61,1436354,4.2
2013,Male,25-34 years,363,2876844,12.6
2013,Male,35-44 years,327,2585759,12.6
2013,Male,45-54 years,494,2596605,19.0
2013,Male,55-64 years,408,2128335,19.2
2013,Male,65-74 years,69,1252631,5.5
2014,Female,25-34 years,104,2786457,3.7
2014,Female,35-44 years,145,2581056,5.6
2014,Female,45-54 years,250,2632698,9.5
2014,Female,55-64 years,243,2333467,10.4
2014,Female,65-74 years,75,1515458,4.9
2014,Male,25-34 years,355,2936929,12.1
2014,Male,35-44 years,316,2594282,12.2
2014,Male, 45-54 years,543,2610846,20.8
2014,Male,55-64 years,454,2186133,20.8
2014,Male,65-74 years,96,1318902,7.3
2015,Female,25-34 years,115,2840066,4.0
2015,Female,35-44 years,142,2584489,5.5
2015,Female,45-54 years,287,2633003,10.9
2015,Female,55-64 years,258,2386715,10.8
2015,Female,65-74 years,63,1591775,4.0
2015,Male,25-34 years,390,2995628,13.0
2015,Male,35-44 years,396,2603187,15.2
2015,Male,45-54 years,511,2613810,19.6
2015,Male,55-64 years,497,2243148,22.2
2015,Male,65-74 years,136,1385628,9.8
2016,Female,25-34 years,115,2878222,4.0
2016,Female,35-44 years,131,2567676,5.1
2016,Female,45-54 years,243,2608088,9.3
2016,Female,55-64 years,275,2415118,11.4
2016,Female,65-74 years,69,1652205,4.2
2016,Male,25-34 years,422,3039563,13.9
2016,Male,35-44 years,390,2592256,15.0
2016,Male,45-54 years,499,2587209,19.3
2016,Male,55-64 years,512,2273600,22.5
2016,Male,65-74 years,137,1436797,9.5
2017,Female,25-34 years,139,2918951,4.8
2017,Female,35-44 years,160,2593130,6.2
2017,Female,45-54 years,273,2591751,10.5
2017,Female,55-64 years,270,2450872,11.0
2017,Female,65-74 years,68,1708889,4.0
2017,Male,25-34 years,558,3104828,18.0
2017,Male,35-44 years,439,2629932,16.7
2017,Male,45-54 years,549,2570937,21.4
2017,Male,55-64 years,585,2311806,25.3
2017,Male,65-74 years,182,1486911,12.2
2018,Female,25-34 years,188,2924517,6.4
2018,Female,35-44 years,183,2602784,7.0
2018,Female,45-54 years,275,2546303,10.8
2018,Female,55-64 years,273,2456773,11.1
2018,Female,65-74 years,81,1756338,4.6
2018,Male,25-34 years,594,3119282,19.0
2018,Male,35-44 years,535,2652887,20.2
2018,Male,45-54 years,671,2525671,26.6
2018,Male,55-64 years,703,2324453,30.2
2018,Male,65-74 years,196,1529076,12.8
2019,Female,25-34 years,223,2926700,7.6
2019,Female,35-44 years,217,2609521,8.3
2019,Female,45-54 years,324,2499374,13.0
2019,Female,55-64 years,298,2455116,12.1
2019,Female,65-74 years,106,1809935,5.9
2019,Male,25-34 years,758,3126252,24.2
2019,Male,35-44 years,718,2672579,26.9
2019,Male,45-54 years,731,2480371,29.5
2019,Male,55-64 years,819,2331519,35.1
2019,Male,65-74 years,256,1576735,16.2
2020,Female,25-34 years,338,2907953,11.6
2020,Female,35-44 years,349,2615551,13.3
2020,Female,45-54 years,426,2465013,17.3
2020,Female,55-64 years,408,2437984,16.7
2020,Female,65-74 years,119,1854268,6.4
2020,Male,25-34 years,1335,3109104,42.9
2020,Male,35-44 years,1166,2690198,43.3
2020,Male,45-54 years,1066,2445935,43.6
2020,Male,55-64 years,1139,2324437,49.0
2020,Male,65-74 years,378,1615277,23.4
