county,rate,num1,num2,num3
San Benito,22.5875,6.155,120.3325,11.295
Kern,1.515,0.4125,8.075,0.7575
Riverside,1.125,0.305,3.925,0.565
Alameda,1.065,0.29,5.675,0.5325
Orange,0.965,0.265,3.36,0.48
Los Angeles,0.465,0.1275,1.335,0.2325
California,0.39,0.1925,0.7125,0.1225
Alpine,0.0,0.0,5589.21,0.0
Amador,0.0,0.0,218.54,0.0
Butte,0.0,0.0,23.6,0.0
Calaveras,0.0,0.0,155.52,0.0
Colusa,0.0,0.0,229.27,0.0
Contra Costa,0.0,0.0,5.04,0.0
Del Norte,0.0,0.0,243.01,0.0
El Dorado,0.0,0.0,32.95,0.0
Fresno,0.0,0.0,5.15,0.0
Glenn,0.0,0.0,186.78,0.0
Humboldt,0.0,0.0,40.95,0.0
Imperial,0.0,0.0,27.27,0.0
Inyo,0.0,0.0,390.77,0.0
Kings,0.0,0.0,35.31,0.0
Lake,0.0,0.0,108.88,0.0
Lassen,0.0,0.0,236.01,0.0
Madera,0.0,0.0,32.53,0.0
Marin,0.0,0.0,25.5,0.0
Mariposa,0.0,0.0,468.73,0.0
Mendocino,0.0,0.0,71.78,0.0
Merced,0.0,0.0,15.66,0.0
Modoc,0.0,0.0,851.94,0.0
Mono,0.0,0.0,528.49,0.0
Monterey,0.0,0.0,12.06,0.0
Napa,0.0,0.0,41.35,0.0
Nevada,0.0,0.0,74.18,0.0
Placer,0.0,0.0,15.16,0.0
Plumas,0.0,0.0,403.16,0.0
Sacramento,0.0,0.0,3.89,0.0
San Bernardino,0.0,0.0,2.34,0.0
San Diego,0.0,0.0,1.78,0.0
San Francisco,0.0,0.0,11.96,0.0
San Joaquin,0.0,0.0,6.66,0.0
San Luis Obispo,0.0,0.0,17.41,0.0
San Mateo,0.0,0.0,9.04,0.0
Santa Barbara,0.0,0.0,10.16,0.0
Santa Clara,0.0,0.0,3.22,0.0
Santa Cruz,0.0,0.0,16.44,0.0
Shasta,0.0,0.0,35.37,0.0
Sierra,0.0,0.0,3207.72,0.0
Siskiyou,0.0,0.0,152.43,0.0
Solano,0.0,0.0,13.67,0.0
Sonoma,0.0,0.0,12.38,0.0
Stanislaus,0.0,0.0,9.34,0.0
Sutter,0.0,0.0,56.46,0.0
Tehama,0.0,0.0,93.2,0.0
Trinity,0.0,0.0,630.58,0.0
Tulare,0.0,0.0,9.91,0.0
Tuolumne,0.0,0.0,145.69,0.0
Ventura,0.0,0.0,6.44,0.0
Yolo,0.0,0.0,17.46,0.0
Yuba,0.0,0.0,72.7,0.0
Unknown,,0.0,,
