Year,Age,Gender,Deaths,Population,Crude Rate
2021,15-24 years,Female,221,2494647,8.9
2021,15-24 years,Male,647,2615434,24.7
2021,25-34 years,Female,416,2839969,14.6
2021,25-34 years,Male,1760,2999673,58.7
2021,35-44 years,Female,424,2638675,16.1
2021,35-44 years,Male,1580,2767766,57.1
2021,45-54 years,Female,456,2446639,18.6
2021,45-54 years,Male,1390,2480907,56.0
2021,55-64 years,Female,484,2411891,20.1
2021,55-64 years,Male,1488,2365841,62.9
2021,65-74 years,Female,174,1882333,9.2
2021,65-74 years,Male,496,1675680,29.6
