county,rate,num1,num2,num3
Mariposa,64.6825,17.625,344.5725,32.3425
Lassen,64.4325,17.555,343.2425,32.2175
Humboldt,33.5775,9.15,96.3025,16.7925
Madera,26.8425,11.5875,90.0225,9.49
Siskiyou,26.435,7.2025,140.815,13.2175
Kern,18.375,8.2275,38.78,6.3475
San Luis Obispo,16.0425,4.3725,46.0,8.0175
Mendocino,14.11,3.845,75.165,7.055
Imperial,13.7175,3.7375,73.0725,6.8575
Placer,12.8525,4.8675,35.75,5.1725
Fresno,12.565,4.225,29.21,5.55
Santa Cruz,12.225,3.33,42.57,6.11
San Francisco,11.5125,4.6025,26.1625,4.405
Butte,7.1175,1.94,37.91,3.5575
Ventura,7.11,2.69,19.775,2.86
Orange,6.875,3.3825,12.5675,2.13
San Diego,6.605,3.59,11.7925,1.7875
Tulare,5.73,1.56,30.525,2.865
California,5.27,4.2725,6.4375,0.5375
Monterey,5.24,1.4275,27.9125,2.62
San Mateo,5.125,1.395,17.855,2.565
Santa Barbara,4.8475,1.32,25.8175,2.4225
Riverside,4.6675,2.2525,10.2875,1.4675
Stanislaus,4.225,1.15,22.51,2.1125
Solano,4.215,1.15,22.4575,2.1075
Alameda,3.915,1.065,11.2225,1.9575
Los Angeles,3.8925,2.2975,6.2025,0.9275
Contra Costa,3.41,0.93,11.87,1.705
San Joaquin,3.1625,0.8625,16.84,1.58
Sonoma,2.9575,0.805,15.7525,1.4775
Santa Clara,2.4975,1.0775,8.37,0.8825
Alpine,0.0,0.0,3480.07,0.0
Amador,0.0,0.0,104.95,0.0
Calaveras,0.0,0.0,85.57,0.0
Colusa,0.0,0.0,369.63,0.0
Del Norte,0.0,0.0,216.1,0.0
El Dorado,0.0,0.0,27.45,0.0
Glenn,0.0,0.0,259.6,0.0
Inyo,0.0,0.0,283.98,0.0
Kings,0.0,0.0,73.79,0.0
Lake,0.0,0.0,70.16,0.0
Marin,0.0,0.0,20.44,0.0
Merced,0.0,0.0,36.82,0.0
Modoc,0.0,0.0,493.17,0.0
Mono,0.0,0.0,458.25,0.0
Napa,0.0,0.0,43.38,0.0
Nevada,0.0,0.0,39.37,0.0
Plumas,0.0,0.0,202.8,0.0
Sacramento,0.0,0.0,5.1,0.0
San Benito,0.0,0.0,140.37,0.0
San Bernardino,0.0,0.0,4.28,0.0
Shasta,0.0,0.0,29.76,0.0
Sierra,0.0,0.0,1107.77,0.0
Sutter,0.0,0.0,79.74,0.0
Tehama,0.0,0.0,90.77,0.0
Trinity,0.0,0.0,302.37,0.0
Tuolumne,0.0,0.0,80.37,0.0
Yolo,0.0,0.0,41.49,0.0
Yuba,0.0,0.0,105.22,0.0
Unknown,,0.0,,
