county,rate,num1,num2,num3
Mariposa,28.35,11.88,63.98,10.58
Lake,26.495,15.4975,42.3675,6.3925
Amador,21.7725,11.405,41.2175,6.3275
Plumas,21.54,9.3,52.375,7.615
Humboldt,21.51,14.4625,30.8325,3.9625
Mendocino,17.1075,9.7175,28.0875,4.345
Santa Cruz,16.21,11.8575,21.69,2.4075
Lassen,15.76,6.6,35.5625,5.88
Tuolumne,12.9975,6.26,25.92,4.1425
Shasta,12.24,7.825,18.3875,2.5325
Modoc,11.0925,3.0225,59.0925,5.5475
Glenn,10.7025,4.0525,29.775,4.3075
San Francisco,10.4425,8.4025,12.8275,1.0975
San Joaquin,9.65,7.5175,12.2025,1.1575
Kern,8.35,6.5725,10.4725,0.9625
Orange,8.015,7.055,9.065,0.5025
Kings,7.99,4.2825,13.83,2.2325
Trinity,7.6175,2.075,40.5775,3.8075
Ventura,7.565,5.83,9.655,0.94
San Diego,7.5025,6.59,8.5025,0.48
Del Norte,7.355,2.005,25.615,3.675
Fresno,7.2525,5.67,9.15,0.86
Siskiyou,6.9025,2.615,19.2025,2.7775
Solano,6.7325,4.5225,9.655,1.2425
Imperial,6.69,3.585,11.5775,1.8675
Madera,6.4725,3.1525,11.8525,2.02
San Luis Obispo,6.45,3.8475,10.17,1.5075
Riverside,6.2725,5.295,7.3725,0.5175
Butte,6.25,3.745,10.2075,1.4475
Sonoma,6.2025,4.225,8.7975,1.11
Merced,5.2625,3.0675,8.6575,1.31
Yolo,5.255,2.6575,9.375,1.5675
California,5.2175,4.9925,5.45,0.115
San Benito,5.145,1.4025,14.7525,2.5725
Nevada,5.0625,1.7,11.7675,2.2375
Santa Barbara,4.9875,3.1775,7.5,1.0375
Contra Costa,4.68,3.5,6.125,0.645
Calaveras,4.485,1.225,15.63,2.245
Yuba,4.06,2.0975,10.835,1.1725
Sacramento,4.05,3.1025,5.205,0.5175
Tulare,3.7175,2.21,5.9125,0.88
Napa,3.535,1.48,7.975,1.3175
Monterey,3.475,2.0075,5.675,0.87
El Dorado,3.28,1.47,6.9175,1.1325
Tehama,3.175,0.865,11.065,1.59
Alameda,3.1625,2.355,4.155,0.44
Sutter,3.1375,1.1875,8.73,1.2625
Santa Clara,3.005,2.2825,3.8925,0.3975
Los Angeles,2.87,2.55,3.2175,0.1675
Stanislaus,2.82,1.6225,4.6125,0.705
San Bernardino,2.6975,2.0475,3.5,0.3575
San Mateo,2.6375,1.62,4.0675,0.5875
Placer,2.4275,1.1525,4.565,0.785
Marin,1.92,0.77,4.3625,0.7375
Alpine,0.0,0.0,333.23,0.0
Colusa,0.0,0.0,17.28,0.0
Inyo,0.0,0.0,20.05,0.0
Mono,0.0,0.0,26.24,0.0
Sierra,0.0,0.0,123.83,0.0
Unknown,,0.0,,
