county,rate,num1,num2,num3,deaths
Colusa,72.8325,19.845,387.985,36.4175,Less than six
Mendocino,44.955,12.25,156.555,22.475,Less than six
Shasta,20.595,5.61,71.715,10.295,Less than six
Kern,18.2925,9.7475,31.695,5.1325,12
Sonoma,17.775,5.9725,41.315,7.845,Less than six
Sacramento,13.58,8.15,22.4325,3.165,13
Riverside,12.495,7.795,19.045,2.695,21
Contra Costa,12.02,5.335,23.5675,4.18,8
Stanislaus,10.8475,6.2,25.1175,2.7125,Less than six
El Dorado,10.5175,2.865,56.03,5.2575,Less than six
San Bernardino,10.4225,6.1125,16.65,2.505,17
Orange,10.04,6.2625,15.3075,2.1675,21
Alameda,10.0,4.9225,18.28,3.095,10
San Diego,9.9375,6.4425,14.65,1.9825,25
Los Angeles,9.8175,7.6425,12.43,1.18,68
Madera,9.1625,2.4975,48.81,4.5825,Less than six
California,8.99175,7.8875,10.2025,0.58,238
Tulare,8.925,4.6125,23.8275,2.5775,Less than six
Marin,8.4175,2.2925,44.8425,4.21,Less than six
Monterey,6.53,1.78,22.735,3.265,Less than six
Santa Barbara,5.9925,2.27,16.6725,2.41,Less than six
San Joaquin,5.865,1.5975,16.8175,2.9325,Less than six
Ventura,5.31,1.4475,15.23,2.655,Less than six
San Mateo,4.91,1.34,17.105,2.455,Less than six
Merced,4.84,1.32,25.79,2.42,Less than six
Placer,4.82,1.3125,25.675,2.41,Less than six
Fresno,4.2375,1.155,12.155,2.1225,Less than six
San Francisco,4.17,1.135,14.52,2.085,Less than six
Santa Cruz,3.59,0.9775,19.1225,1.795,Less than six
Santa Clara,1.66,0.715,5.5625,0.5875,Less than six
Alpine,0.0,0.0,7685.17,0.0,0
Amador,0.0,0.0,232.74,0.0,0
Butte,0.0,0.0,14.55,0.0,0
Calaveras,0.0,0.0,191.03,0.0,0
Del Norte,0.0,0.0,232.3,0.0,0
Glenn,0.0,0.0,207.01,0.0,0
Humboldt,0.0,0.0,28.76,0.0,0
Imperial,0.0,0.0,28.09,0.0,0
Inyo,0.0,0.0,459.96,0.0,0
Kings,0.0,0.0,28.79,0.0,0
Lake,0.0,0.0,125.86,0.0,0
Lassen,0.0,0.0,155.39,0.0,0
Mariposa,0.0,0.0,465.18,0.0,0
Modoc,0.0,0.0,963.15,0.0,0
Mono,0.0,0.0,348.01,0.0,0
Napa,0.0,0.0,43.76,0.0,0
Nevada,0.0,0.0,88.46,0.0,0
Plumas,0.0,0.0,537.74,0.0,0
San Benito,0.0,0.0,91.22,0.0,0
San Luis Obispo,0.0,0.0,11.99,0.0,0
Sierra,0.0,0.0,3384.29,0.0,0
Siskiyou,0.0,0.0,185.74,0.0,0
Solano,0.0,0.0,12.76,0.0,0
Sutter,0.0,0.0,60.37,0.0,0
Tehama,0.0,0.0,109.66,0.0,0
Trinity,0.0,0.0,801.93,0.0,0
Tuolumne,0.0,0.0,141.72,0.0,0
Yolo,0.0,0.0,11.67,0.0,0
Yuba,0.0,0.0,67.41,0.0,0
Unknown,,0.0,,,0
