year,age,deaths,population,rate
2013,15-24 years,50,5586402,0.9
2013,25-34 years,163,5591286,2.9
2013,35-44 years,196,5149410,3.8
2013,45-54 years,371,5212165,7.1
2013,55-64 years,233,4403436,5.3
2013,65-74 years,25,2688985,0.9
2014,15-24 years,60,5551583,1.1
2014,25-34 years,154,5723386,2.7
2014,35-44 years,197,5175338,3.8
2014,45-54 years,397,5243544,7.6
2014,55-64 years,283,4519600,6.3
2014,65-74 years,43,2834360,1.5
2015,15-24 years,82,5484894,1.5
2015,25-34 years,211,5835694,3.6
2015,35-44 years,277,5187676,5.3
2015,45-54 years,453,5246813,8.6
2015,55-64 years,349,4629863,7.5
2015,65-74 years,88,2977403,3.0
2016,15-24 years,99,5392177,1.8
2016,25-34 years,254,5917785,4.3
2016,35-44 years,291,5159932,5.6
2016,45-54 years,452,5195297,8.7
2016,55-64 years,389,4688718,8.3
2016,65-74 years,88,3089002,2.8
2017,15-24 years,92,5330443,1.7
2017,25-34 years,331,6023779,5.5
2017,35-44 years,339,5223062,6.5
2017,45-54 years,538,5162688,10.4
2017,55-64 years,488,4762678,10.2
2017,65-74 years,121,3195800,3.8
2018,15-24 years,89,5257175,1.7
2018,25-34 years,384,6043799,6.4
2018,35-44 years,456,5255671,8.7
2018,45-54 years,652,5071974,12.9
2018,55-64 years,646,4781226,13.5
2018,65-74 years,161,3285414,4.9
2019,15-24 years,118,5180973,2.3
2019,25-34 years,447,6052952,7.4
2019,35-44 years,543,5282100,10.3
2019,45-54 years,759,4979745,15.2
2019,55-64 years,776,4786635,16.2
2019,65-74 years,202,3386670,6.0
2020,15-24 years,190,5111453,3.7
2020,25-34 years,770,6017057,12.8
2020,35-44 years,939,5305749,17.7
2020,45-54 years,1067,4910948,21.7
2020,55-64 years,1095,4762421,23.0
2020,65-74 years,326,3469545,9.4
2021,15-24 years,213,5110081,4.2
2021,25-34 years,1097,5839642,18.8
2021,35-44 years,1270,5406441,23.5
2021,45-54 years,1293,4927546,26.2
2021,55-64 years,1444,4777732,30.2
2021,65-74 years,396,3558013,11.1
