county,rate,num1,num2,num3
Alpine,86.73,23.63,462.02,43.365
Mendocino,54.175,39.8675,71.975,7.8725
San Francisco,48.7125,44.205,53.55,2.355
Lake,47.9075,32.74,67.8125,8.5075
Trinity,40.885,13.7425,95.0275,18.045
Humboldt,32.705,23.775,43.885,4.9225
Kern,29.38,25.9875,33.1025,1.785
Nevada,27.9825,18.6625,40.38,5.255
Butte,27.785,21.3925,35.53,3.4825
Inyo,27.4625,10.9825,62.425,10.5175
Shasta,25.89,19.2,34.2575,3.69
Ventura,25.4675,22.19,29.1,1.7325
San Luis Obispo,25.0375,19.5875,31.5575,2.955
Sonoma,24.8025,20.6075,29.6075,2.24
Orange,23.2875,21.6425,25.02,0.855
Modoc,22.435,6.115,78.13,11.215
Sutter,20.79,13.0925,31.575,4.425
San Diego,20.415,18.92,22.0,0.7775
Yuba,19.6625,11.2775,31.895,4.9
Riverside,19.6425,17.9525,21.45,0.88
Stanislaus,19.27,15.8125,23.255,1.85
Del Norte,17.8725,6.01,41.535,7.89
San Joaquin,17.62,14.8125,20.8075,1.495
Calaveras,17.44,7.74,34.1925,6.0625
Mariposa,17.3925,6.585,48.385,6.9975
Amador,17.31,8.465,34.4225,5.4575
Tuolumne,16.6225,8.68,30.6575,4.7525
Marin,16.33,11.8375,22.01,2.485
San Bernardino,15.715,14.1125,17.4525,0.8425
Contra Costa,15.435,13.2725,17.8575,1.145
Los Angeles,15.32,14.565,16.1025,0.3875
San Benito,15.3175,7.6175,27.9375,4.7075
El Dorado,15.1,10.58,21.1925,2.56
Santa Cruz,13.92,9.895,19.0675,2.2375
Glenn,13.91,4.8975,34.7225,5.94
Lassen,12.9,4.54,32.2,5.505
Santa Barbara,12.8975,9.8625,16.6075,1.6575
Tehama,12.085,5.99,23.175,3.6825
Solano,11.8925,8.9525,15.4975,1.6075
Placer,11.7,8.6475,15.4975,1.6775
Alameda,11.2875,9.745,13.005,0.815
Sacramento,10.9825,9.4275,12.7275,0.825
San Mateo,10.895,8.695,13.48,1.1875
Madera,10.6325,6.31,16.9175,2.52
Plumas,10.46,2.85,36.425,5.23
Tulare,10.315,7.785,13.495,1.4
Napa,10.205,5.65,17.055,2.69
Kings,9.5425,5.435,15.6525,2.415
Siskiyou,9.2,3.24,22.9575,3.925
Fresno,8.6425,6.935,10.6475,0.92
Merced,8.3925,5.4425,12.4275,1.68
Santa Clara,7.9625,6.755,9.3225,0.64
Imperial,7.575,4.1975,12.665,1.995
Monterey,6.165,4.0775,8.955,1.18
Yolo,2.24,0.94,5.0575,0.8375
Colusa,0.0,0.0,16.91,0.0
Mono,0.0,0.0,25.31,0.0
Sierra,0.0,0.0,122.11,0.0
