county,rate,num1,num2,num3
Marin,6.16,1.6775,32.81,3.08
San Mateo,4.715,2.035,15.8175,1.6675
Santa Cruz,4.2125,1.1475,22.44,2.105
Riverside,2.775,1.34,6.1225,0.8725
Orange,2.71,1.2125,5.7225,0.9375
Tulare,2.52,0.6875,13.4175,1.26
Ventura,1.705,0.465,9.085,0.8525
San Diego,1.69,0.595,4.22,0.725
Kern,1.38,0.375,7.3525,0.69
Fresno,1.2175,0.3325,6.4825,0.6075
California,1.12075,0.767,1.5855,0.1975
Los Angeles,1.0325,0.4225,2.125,0.39
Santa Clara,0.7675,0.21,4.0875,0.3825
Alameda,0.0,0.0,3.43,0.0
Alpine,0.0,0.0,4853.79,0.0
Amador,0.0,0.0,193.95,0.0
Butte,0.0,0.0,20.63,0.0
Calaveras,0.0,0.0,162.79,0.0
Colusa,0.0,0.0,207.36,0.0
Contra Costa,0.0,0.0,5.14,0.0
Del Norte,0.0,0.0,236.62,0.0
El Dorado,0.0,0.0,28.13,0.0
Glenn,0.0,0.0,171.1,0.0
Humboldt,0.0,0.0,36.9,0.0
Imperial,0.0,0.0,25.99,0.0
Inyo,0.0,0.0,347.68,0.0
Kings,0.0,0.0,28.35,0.0
Lake,0.0,0.0,99.78,0.0
Lassen,0.0,0.0,258.69,0.0
Madera,0.0,0.0,30.85,0.0
Mariposa,0.0,0.0,449.32,0.0
Mendocino,0.0,0.0,69.79,0.0
Merced,0.0,0.0,14.51,0.0
Modoc,0.0,0.0,655.22,0.0
Mono,0.0,0.0,429.94,0.0
Monterey,0.0,0.0,10.93,0.0
Napa,0.0,0.0,40.72,0.0
Nevada,0.0,0.0,74.96,0.0
Placer,0.0,0.0,15.63,0.0
Plumas,0.0,0.0,353.34,0.0
Sacramento,0.0,0.0,3.36,0.0
San Benito,0.0,0.0,86.98,0.0
San Bernardino,0.0,0.0,2.16,0.0
San Francisco,0.0,0.0,10.11,0.0
San Joaquin,0.0,0.0,6.13,0.0
San Luis Obispo,0.0,0.0,16.76,0.0
Santa Barbara,0.0,0.0,9.65,0.0
Shasta,0.0,0.0,33.65,0.0
Sierra,0.0,0.0,2859.6,0.0
Siskiyou,0.0,0.0,150.75,0.0
Solano,0.0,0.0,12.03,0.0
Sonoma,0.0,0.0,11.66,0.0
Stanislaus,0.0,0.0,8.43,0.0
Sutter,0.0,0.0,51.51,0.0
Tehama,0.0,0.0,87.27,0.0
Trinity,0.0,0.0,531.54,0.0
Tuolumne,0.0,0.0,143.42,0.0
Yolo,0.0,0.0,16.0,0.0
Yuba,0.0,0.0,64.58,0.0
Unknown,,0.0,,
