county,rate,num1,num2,num3
Lake,3.1075,1.34,10.4175,1.0975
San Francisco,2.7175,1.7675,4.015,0.54
Siskiyou,2.2875,0.6225,12.185,1.1425
Mendocino,2.2825,0.985,7.655,0.8075
Humboldt,2.2,1.1375,5.8675,0.635
Calaveras,2.1925,0.5975,11.6825,1.0975
Stanislaus,1.64,0.87,3.0075,0.4575
Tehama,1.565,0.4275,8.3325,0.7825
Santa Cruz,1.46,0.515,3.64,0.6225
San Joaquin,1.3275,0.67,2.41,0.405
Ventura,1.2925,0.655,2.3025,0.385
Kern,1.2275,0.6975,2.1225,0.315
Imperial,1.1,0.3,3.83,0.55
El Dorado,1.05,0.4525,3.515,0.37
Contra Costa,1.045,0.5625,1.8025,0.29
Fresno,1.005,0.5,1.835,0.3075
Sonoma,1.0,0.4825,2.205,0.315
Solano,0.8975,0.3125,2.235,0.3825
Butte,0.865,0.3725,2.905,0.305
San Diego,0.69,0.4475,1.02,0.1375
Kings,0.66,0.18,3.5225,0.33
Madera,0.635,0.1725,3.38,0.3175
Alameda,0.6,0.3275,1.0725,0.1625
California,0.5975,0.5225,0.6725,0.04
Shasta,0.555,0.1525,2.96,0.2775
Placer,0.51,0.14,1.775,0.255
Orange,0.505,0.285,0.815,0.125
Sacramento,0.455,0.1825,0.93,0.1675
Santa Barbara,0.4475,0.1925,1.505,0.1575
Tulare,0.43,0.115,1.495,0.215
Santa Clara,0.4125,0.185,0.8075,0.145
Marin,0.385,0.105,2.05,0.1925
Merced,0.365,0.1,1.9375,0.1825
Los Angeles,0.3475,0.2425,0.48,0.06
San Bernardino,0.1825,0.065,0.46,0.0775
San Mateo,0.13,0.035,0.6925,0.065
Riverside,0.04,0.01,0.2175,0.02
Alpine,0.0,0.0,335.05,0.0
Amador,0.0,0.0,9.37,0.0
Colusa,0.0,0.0,17.06,0.0
Del Norte,0.0,0.0,13.26,0.0
Glenn,0.0,0.0,13.15,0.0
Inyo,0.0,0.0,20.51,0.0
Lassen,0.0,0.0,11.98,0.0
Mariposa,0.0,0.0,21.11,0.0
Modoc,0.0,0.0,42.03,0.0
Mono,0.0,0.0,25.89,0.0
Monterey,0.0,0.0,0.85,0.0
Napa,0.0,0.0,2.65,0.0
Nevada,0.0,0.0,3.7,0.0
Plumas,0.0,0.0,19.62,0.0
San Benito,0.0,0.0,5.99,0.0
San Luis Obispo,0.0,0.0,1.3,0.0
Sierra,0.0,0.0,123.5,0.0
Sutter,0.0,0.0,3.81,0.0
Trinity,0.0,0.0,29.43,0.0
Tuolumne,0.0,0.0,6.76,0.0
Yolo,0.0,0.0,1.67,0.0
Yuba,0.0,0.0,4.73,0.0
Unknown,,0.0,,
