county,rate,num1,num2,num3
Lake,35.65,22.7825,53.325,7.34
San Francisco,31.43,27.8975,35.3,1.8575
Mariposa,23.02,8.105,57.455,9.825
Lassen,22.685,9.5875,46.3525,8.34
Mendocino,20.4525,12.3125,32.1425,4.7225
Humboldt,17.52,11.25,26.04,3.56
Trinity,16.335,4.45,56.885,8.165
Colusa,13.775,5.215,38.3175,5.5425
Sonoma,12.91,9.985,16.435,1.5925
Kern,12.8925,10.665,15.45,1.1925
Amador,12.625,5.0475,28.6925,4.8325
Inyo,11.11,4.795,37.2575,3.9275
Plumas,10.675,4.61,35.8025,3.775
Santa Cruz,10.4925,7.0325,15.065,1.945
Ventura,10.4075,8.3575,12.8075,1.105
Yuba,10.1575,5.3175,19.225,2.9525
Nevada,9.9975,5.385,17.89,2.73
Shasta,9.9725,5.935,15.735,2.34
Riverside,9.8475,8.655,11.1575,0.63
San Diego,9.3325,8.33,10.425,0.525
Calaveras,8.7825,4.0,21.18,3.0
Orange,8.4875,7.51,9.555,0.5125
Marin,8.445,5.4,12.6875,1.7475
San Mateo,8.3875,6.485,10.6825,1.035
Stanislaus,8.2625,6.0625,11.005,1.21
California,8.21025,7.9305,8.497,0.145
Madera,8.1575,4.47,13.8325,2.195
San Benito,8.0475,3.37,18.1575,3.0025
Contra Costa,7.825,6.31,9.6,0.8175
Sacramento,7.6325,6.33,9.125,0.695
Placer,7.54,5.1125,10.735,1.3625
Solano,7.53,5.225,10.51,1.285
San Luis Obispo,7.35,4.76,11.0425,1.4975
Merced,7.1875,4.435,11.065,1.5875
Los Angeles,6.9625,6.4625,7.4975,0.2625
Imperial,6.5175,3.475,11.2975,1.8275
Alameda,6.1175,5.0125,7.4075,0.5925
San Bernardino,6.0625,5.0775,7.18,0.5225
Santa Barbara,5.785,3.7875,8.465,1.13
El Dorado,5.225,2.52,9.59,1.645
Butte,5.1525,2.6825,8.9825,1.4775
San Joaquin,5.105,3.6425,6.9675,0.8125
Fresno,4.775,3.525,6.325,0.6875
Siskiyou,4.58,1.25,15.955,2.29
Monterey,4.555,2.815,7.0025,1.0025
Santa Clara,4.4975,3.6125,5.5375,0.4775
Yolo,4.0425,1.9,7.625,1.3225
Tuolumne,3.665,1.0,12.76,1.83
Del Norte,3.585,0.9775,19.1025,1.7925
Glenn,3.5475,0.9675,18.9025,1.775
Sutter,3.0675,0.8325,8.8025,1.5375
Tulare,2.55,1.375,4.4025,0.705
Napa,2.1425,0.8125,5.9575,0.8625
Tehama,1.56,0.425,8.305,0.78
Kings,1.31,0.355,4.565,0.655
Alpine,0.0,0.0,358.84,0.0
Modoc,0.0,0.0,42.78,0.0
Mono,0.0,0.0,26.09,0.0
Sierra,0.0,0.0,125.05,0.0
Unknown,,0.0,,
