county,rate,num1,num2,num3
Mariposa,126.1025,34.36,671.76,63.0525
Colusa,72.8325,19.845,387.985,36.4175
Mendocino,44.955,12.25,156.555,22.475
Shasta,30.8925,8.415,88.5825,15.4425
Sonoma,28.4375,13.1325,55.3025,9.6225
San Benito,24.7275,6.7375,131.7275,12.365
Kern,21.3425,12.0875,35.435,5.4925
El Dorado,21.035,5.73,73.26,10.515
Stanislaus,18.985,10.625,36.63,4.95
Contra Costa,15.025,7.4725,27.4075,4.62
Riverside,14.875,9.7125,21.8775,2.9325
Sacramento,13.58,8.15,22.4325,3.165
San Diego,13.515,9.3675,18.87,2.31
San Bernardino,12.875,8.0325,19.6225,2.775
Los Angeles,12.7075,10.2,15.645,1.3475
Orange,11.9525,7.7975,17.59,2.36
Tulare,11.9,5.4225,28.7,4.065
San Joaquin,11.73,4.44,25.415,4.72
California,11.71325,10.4445,13.085,0.6625
Alameda,10.0,4.9225,18.28,3.095
Placer,9.6375,4.16,32.3275,3.4075
Madera,9.1625,2.4975,48.81,4.5825
Ventura,8.855,3.5425,20.12,3.39
Marin,8.4175,2.2925,44.8425,4.21
Santa Barbara,7.99,3.45,19.43,2.825
Humboldt,7.795,2.125,41.53,3.8975
Fresno,7.065,2.375,16.4225,3.1225
Monterey,6.53,1.78,22.735,3.265
San Francisco,6.255,1.7025,17.935,3.1275
Santa Clara,5.8075,2.45,11.86,2.135
San Mateo,4.91,1.34,17.105,2.455
Merced,4.84,1.32,25.79,2.42
Santa Cruz,3.59,0.9775,19.1225,1.795
Alpine,0.0,0.0,7685.17,0.0
Amador,0.0,0.0,232.74,0.0
Butte,0.0,0.0,14.55,0.0
Calaveras,0.0,0.0,191.03,0.0
Del Norte,0.0,0.0,232.3,0.0
Glenn,0.0,0.0,207.01,0.0
Imperial,0.0,0.0,28.09,0.0
Inyo,0.0,0.0,459.96,0.0
Kings,0.0,0.0,28.79,0.0
Lake,0.0,0.0,125.86,0.0
Lassen,0.0,0.0,155.39,0.0
Modoc,0.0,0.0,963.15,0.0
Mono,0.0,0.0,348.01,0.0
Napa,0.0,0.0,43.76,0.0
Nevada,0.0,0.0,88.46,0.0
Plumas,0.0,0.0,537.74,0.0
San Luis Obispo,0.0,0.0,11.99,0.0
Sierra,0.0,0.0,3384.29,0.0
Siskiyou,0.0,0.0,185.74,0.0
Solano,0.0,0.0,12.76,0.0
Sutter,0.0,0.0,60.37,0.0
Tehama,0.0,0.0,109.66,0.0
Trinity,0.0,0.0,801.93,0.0
Tuolumne,0.0,0.0,141.72,0.0
Yolo,0.0,0.0,11.67,0.0
Yuba,0.0,0.0,67.41,0.0
Unknown,,0.0,,
