county,rate,num1,num2,num3
Inyo,102.67,27.975,546.93,51.335
Mendocino,77.85,27.41,194.315,33.2275
San Francisco,71.295,53.8975,92.6225,9.5175
Lake,63.695,17.355,221.825,31.845
Calaveras,58.3775,15.905,310.98,29.1875
Kern,57.76,39.5725,81.48,10.1775
Lassen,56.98,15.525,303.535,28.49
Siskiyou,49.48,13.4825,263.5875,24.74
Ventura,48.9375,32.1025,71.83,9.5675
Butte,48.325,26.7925,97.6725,13.0325
San Luis Obispo,47.6525,19.4875,97.9125,17.84
Shasta,41.0425,18.7,98.9675,14.015
Yuba,40.0,10.9,139.305,20.0
Sonoma,37.675,20.3325,65.05,10.44
Imperial,37.64,13.255,93.945,16.065
Orange,35.4625,27.755,44.68,4.1775
Humboldt,33.83,12.81,94.11,13.61
Stanislaus,32.44,17.5125,56.88,9.1175
Madera,31.1025,11.7775,86.53,12.5175
Tehama,31.0375,8.4575,165.3325,15.5175
San Diego,25.9675,19.64,33.69,3.455
California,23.54,21.7,25.4825,0.9525
Placer,23.515,8.9,50.95,9.46
Riverside,22.7425,15.6875,31.9075,3.945
San Mateo,21.99,11.4525,38.3275,6.3025
Santa Barbara,21.96,8.315,47.585,8.835
Tulare,19.9725,10.485,40.88,5.685
Contra Costa,19.585,11.345,31.96,4.8625
San Joaquin,19.3975,9.4425,36.33,6.1775
San Bernardino,19.0525,12.5425,27.8225,3.69
Solano,18.9325,7.5725,43.0325,7.2475
Los Angeles,18.0475,15.025,21.5,1.61
Sutter,16.71,4.5525,89.025,8.355
Sacramento,16.3425,9.5275,26.16,3.9625
Napa,12.3175,3.355,65.615,6.1575
Alameda,12.18,6.67,20.415,3.245
Santa Clara,9.875,5.6975,16.3075,2.49
Marin,6.625,1.805,35.295,3.3125
Fresno,6.47,1.76,16.57,3.24
Santa Cruz,6.3875,1.74,34.0325,3.195
Merced,5.7925,1.5775,30.8575,2.895
Monterey,3.335,0.91,17.775,1.6675
Alpine,0.0,0.0,7377.76,0.0
Amador,0.0,0.0,180.92,0.0
Colusa,0.0,0.0,290.92,0.0
Del Norte,0.0,0.0,222.22,0.0
El Dorado,0.0,0.0,39.47,0.0
Glenn,0.0,0.0,227.01,0.0
Kings,0.0,0.0,39.63,0.0
Mariposa,0.0,0.0,493.83,0.0
Modoc,0.0,0.0,834.59,0.0
Mono,0.0,0.0,399.66,0.0
Nevada,0.0,0.0,76.23,0.0
Plumas,0.0,0.0,436.04,0.0
San Benito,0.0,0.0,98.06,0.0
Sierra,0.0,0.0,2951.1,0.0
Trinity,0.0,0.0,638.21,0.0
Tuolumne,0.0,0.0,134.48,0.0
Yolo,0.0,0.0,28.93,0.0
Unknown,,0.0,,
