county,rate,num1,num2,num3
Modoc,143.0625,38.98,762.1,71.53
Lassen,101.5225,43.83,340.4775,35.8925
Trinity,89.445,24.37,476.4775,44.7225
Inyo,65.92,17.96,351.1575,32.96
Del Norte,49.8,13.57,265.2925,24.9
Humboldt,44.4025,15.635,110.83,18.95
Merced,33.7075,16.27,74.3275,10.605
Mendocino,32.315,8.805,112.54,16.16
Imperial,30.045,8.19,86.1725,15.0225
Siskiyou,29.69,8.09,158.17,14.845
San Francisco,28.6,16.0925,47.0925,7.34
Kern,27.6575,15.2575,46.2825,7.3225
San Benito,24.9125,6.7875,132.7125,12.4575
Madera,22.24,6.06,77.46,11.12
Yuba,21.6975,5.9125,115.5825,10.8475
Lake,19.665,5.3575,104.7575,9.8325
San Diego,17.225,12.085,23.8225,2.86
Ventura,16.765,8.335,30.5725,5.1525
Yolo,16.7325,7.225,56.115,5.915
Sutter,16.3525,4.455,87.1175,8.1775
Santa Cruz,16.05,4.3725,46.0275,8.025
Orange,15.66,10.9825,21.75,2.615
Santa Barbara,15.12,4.12,38.72,7.56
Fresno,14.5525,7.21,27.9175,4.4375
San Joaquin,13.39,6.3175,27.9775,4.4625
Kings,12.8,3.4875,68.1775,6.4
Placer,11.0175,4.17,30.65,4.4325
California,10.6375,9.405,11.985,0.6475
Contra Costa,10.0,5.715,18.54,2.5
Riverside,9.52,5.39,15.8025,2.4475
Sacramento,9.04,4.3975,16.925,2.88
Shasta,7.4575,2.0325,39.725,3.7275
Los Angeles,6.955,5.075,9.3025,1.035
Butte,6.9225,1.885,36.88,3.4625
San Bernardino,6.1,2.705,11.9575,2.12
Stanislaus,6.04,1.645,21.03,3.02
El Dorado,5.995,1.6325,31.94,2.9975
San Mateo,5.655,1.545,16.23,2.8275
Santa Clara,5.635,2.3825,11.5075,2.0725
San Luis Obispo,5.1975,1.415,27.685,2.6
Marin,4.905,1.335,26.1225,2.4525
Tulare,4.0725,1.11,21.69,2.035
Solano,3.18,0.8675,16.9425,1.59
Sonoma,2.7075,0.7375,14.4225,1.3525
Alameda,1.8475,0.7975,6.2,0.6525
Alpine,0.0,0.0,3293.64,0.0
Amador,0.0,0.0,117.37,0.0
Calaveras,0.0,0.0,90.79,0.0
Colusa,0.0,0.0,276.32,0.0
Glenn,0.0,0.0,197.9,0.0
Mariposa,0.0,0.0,228.41,0.0
Mono,0.0,0.0,312.35,0.0
Monterey,0.0,0.0,14.4,0.0
Napa,0.0,0.0,37.92,0.0
Nevada,0.0,0.0,45.54,0.0
Plumas,0.0,0.0,225.9,0.0
Sierra,0.0,0.0,1213.45,0.0
Tehama,0.0,0.0,77.69,0.0
Tuolumne,0.0,0.0,88.0,0.0
Unknown,,0.0,,
