county,rate,num1,num2,num3
Mono,266.665,72.66,928.7,133.335
Sutter,212.995,121.0,353.3225,54.63
Amador,179.4225,48.885,514.5625,89.715
Tuolumne,160.2575,56.4225,399.9925,68.395
Butte,146.805,94.625,218.8075,29.82
El Dorado,144.105,84.225,232.315,35.09
Lassen,132.015,35.97,459.75,66.005
Mariposa,131.0625,35.71,698.1725,65.53
Nevada,123.225,53.205,261.7525,43.5675
Lake,116.8575,41.145,291.67,49.8725
Shasta,115.25,60.805,200.19,32.64
San Benito,113.1725,57.9175,246.735,33.9525
Plumas,107.9925,29.425,575.2775,53.995
Inyo,107.7575,29.36,574.0375,53.88
Marin,92.79,55.9975,151.195,21.2675
Fresno,92.015,71.2375,116.99,11.2875
Calaveras,86.47,23.56,301.13,43.235
Monterey,84.4525,56.2,122.775,16.04
Kern,82.84,62.535,107.7,11.1025
San Francisco,80.8475,52.395,119.2775,16.13
San Luis Obispo,79.0775,47.315,125.4525,18.5475
Yuba,78.57,27.665,196.1075,33.535
Tehama,76.4925,20.8425,219.3625,38.2425
Santa Barbara,71.37,47.5875,103.66,13.5075
Santa Cruz,71.3475,40.92,115.73,17.7675
Placer,69.4025,40.475,111.0875,16.8125
Stanislaus,68.555,45.2225,99.6975,13.17
Sonoma,67.1975,41.535,103.3225,14.78
Orange,65.4025,54.8425,77.4075,5.6275
San Diego,64.6925,54.2175,76.6125,5.5825
San Bernardino,64.4825,52.55,78.3275,6.4025
Ventura,63.9225,44.9875,88.285,10.545
Santa Clara,63.4675,49.8075,79.745,7.4
California,63.21,60.16,66.3775,1.575
Madera,62.95,32.365,123.785,19.05
San Joaquin,61.095,42.7125,84.9875,10.2725
Contra Costa,60.2275,43.77,80.8425,9.075
Mendocino,60.0725,22.745,167.115,24.1725
Riverside,59.305,48.5575,71.74,5.76
Kings,59.03,26.4275,124.5925,20.3975
Tulare,58.875,37.17,88.88,12.4125
Yolo,56.2475,30.61,96.8775,15.4575
Humboldt,56.1525,18.8775,130.5225,24.7875
Los Angeles,54.8575,49.22,60.955,2.9475
San Mateo,53.3925,34.585,79.785,10.815
Sacramento,46.35,33.805,62.1,6.925
Solano,45.06,24.52,77.615,12.385
Alameda,44.8875,32.5,60.525,6.85
Imperial,44.2375,23.225,90.5475,12.585
Siskiyou,42.4625,11.57,226.2025,21.2325
Merced,33.5325,14.88,65.7325,11.65
Napa,11.41,3.11,60.7825,5.705
Alpine,0.0,0.0,5269.83,0.0
Colusa,0.0,0.0,230.84,0.0
Del Norte,0.0,0.0,249.42,0.0
Glenn,0.0,0.0,191.93,0.0
Modoc,0.0,0.0,848.02,0.0
Sierra,0.0,0.0,3207.72,0.0
Trinity,0.0,0.0,657.55,0.0
Unknown,,0.0,,
