county,rate,num1,num2,num3
Amador,8.085,3.0625,22.495,3.2525
Lake,3.125,0.85,10.89,1.565
Siskiyou,2.265,0.6175,12.07,1.1325
Mendocino,1.1425,0.3125,6.0825,0.5725
Shasta,1.12,0.305,3.905,0.56
Nevada,1.0175,0.2775,5.4175,0.5075
Humboldt,0.7425,0.2025,3.955,0.37
Ventura,0.72,0.32,1.5175,0.2475
San Joaquin,0.57,0.245,1.39,0.2
Placer,0.555,0.15,1.93,0.275
Sonoma,0.41,0.11,1.42,0.205
Orange,0.39,0.2125,0.67,0.105
Merced,0.3825,0.105,2.035,0.19
San Diego,0.3775,0.195,0.66,0.11
Santa Cruz,0.375,0.1025,1.995,0.1875
San Luis Obispo,0.365,0.1,1.9375,0.1825
Kern,0.3525,0.0975,1.0075,0.1725
San Bernardino,0.2875,0.135,0.6025,0.0975
Contra Costa,0.2775,0.075,0.7975,0.1425
Riverside,0.265,0.1175,0.5575,0.09
Santa Barbara,0.2325,0.0625,1.24,0.115
San Mateo,0.135,0.0375,0.72,0.0675
San Francisco,0.12,0.0325,0.6375,0.06
Fresno,0.105,0.0275,0.5625,0.0525
Sacramento,0.07,0.02,0.365,0.035
Alameda,0.065,0.0175,0.345,0.0325
Santa Clara,0.055,0.015,0.29,0.0275
Los Angeles,0.05,0.0175,0.115,0.02
Alpine,0.0,0.0,327.61,0.0
Butte,0.0,0.0,1.67,0.0
Calaveras,0.0,0.0,8.24,0.0
Colusa,0.0,0.0,17.26,0.0
Del Norte,0.0,0.0,13.08,0.0
El Dorado,0.0,0.0,2.04,0.0
Glenn,0.0,0.0,13.2,0.0
Imperial,0.0,0.0,2.08,0.0
Inyo,0.0,0.0,20.04,0.0
Kings,0.0,0.0,2.44,0.0
Lassen,0.0,0.0,10.95,0.0
Madera,0.0,0.0,2.42,0.0
Marin,0.0,0.0,1.44,0.0
Mariposa,0.0,0.0,20.66,0.0
Modoc,0.0,0.0,39.53,0.0
Mono,0.0,0.0,25.76,0.0
Monterey,0.0,0.0,0.87,0.0
Napa,0.0,0.0,2.65,0.0
Plumas,0.0,0.0,19.09,0.0
San Benito,0.0,0.0,6.48,0.0
Sierra,0.0,0.0,119.96,0.0
Solano,0.0,0.0,0.88,0.0
Stanislaus,0.0,0.0,0.71,0.0
Sutter,0.0,0.0,3.9,0.0
Tehama,0.0,0.0,5.83,0.0
Trinity,0.0,0.0,27.31,0.0
Tulare,0.0,0.0,0.82,0.0
Tuolumne,0.0,0.0,6.81,0.0
Yolo,0.0,0.0,1.8,0.0
Yuba,0.0,0.0,5.06,0.0
