county,rate,num1,num2,num3
Lake,20.23,5.5125,107.77,10.115
San Francisco,18.0425,9.45,34.1575,5.245
Ventura,9.39,3.3075,23.435,4.005
Sonoma,8.865,3.3575,24.665,3.5675
Marin,5.5375,1.5075,29.4925,2.7675
Stanislaus,4.195,1.1425,22.355,2.0975
Kern,2.955,0.805,15.7425,1.4775
Alameda,1.28,0.3475,6.815,0.64
California,1.2425,0.795,1.855,0.2525
Riverside,0.9175,0.25,4.88,0.4575
San Diego,0.6525,0.1775,3.4775,0.325
Los Angeles,0.2225,0.06,1.1875,0.1125
Alpine,0.0,0.0,3207.72,0.0
Amador,0.0,0.0,105.64,0.0
Butte,0.0,0.0,25.71,0.0
Calaveras,0.0,0.0,89.49,0.0
Colusa,0.0,0.0,359.54,0.0
Contra Costa,0.0,0.0,6.24,0.0
Del Norte,0.0,0.0,210.31,0.0
El Dorado,0.0,0.0,26.0,0.0
Fresno,0.0,0.0,9.07,0.0
Glenn,0.0,0.0,259.05,0.0
Humboldt,0.0,0.0,40.71,0.0
Imperial,0.0,0.0,50.31,0.0
Inyo,0.0,0.0,280.31,0.0
Kings,0.0,0.0,72.53,0.0
Lassen,0.0,0.0,225.9,0.0
Madera,0.0,0.0,49.03,0.0
Mariposa,0.0,0.0,237.99,0.0
Mendocino,0.0,0.0,53.8,0.0
Merced,0.0,0.0,36.44,0.0
Modoc,0.0,0.0,489.24,0.0
Mono,0.0,0.0,410.33,0.0
Monterey,0.0,0.0,18.67,0.0
Napa,0.0,0.0,44.03,0.0
Nevada,0.0,0.0,39.26,0.0
Orange,0.0,0.0,2.49,0.0
Placer,0.0,0.0,15.79,0.0
Plumas,0.0,0.0,197.58,0.0
Sacramento,0.0,0.0,5.02,0.0
San Benito,0.0,0.0,133.32,0.0
San Bernardino,0.0,0.0,4.17,0.0
San Joaquin,0.0,0.0,11.52,0.0
San Luis Obispo,0.0,0.0,19.32,0.0
San Mateo,0.0,0.0,9.36,0.0
Santa Barbara,0.0,0.0,17.5,0.0
Santa Clara,0.0,0.0,4.49,0.0
Santa Cruz,0.0,0.0,21.93,0.0
Shasta,0.0,0.0,30.52,0.0
Sierra,0.0,0.0,1063.08,0.0
Siskiyou,0.0,0.0,96.85,0.0
Solano,0.0,0.0,15.08,0.0
Sutter,0.0,0.0,83.91,0.0
Tehama,0.0,0.0,95.42,0.0
Trinity,0.0,0.0,298.45,0.0
Tulare,0.0,0.0,20.91,0.0
Tuolumne,0.0,0.0,79.9,0.0
Yolo,0.0,0.0,40.89,0.0
Yuba,0.0,0.0,103.04,0.0
Unknown,,0.0,,
