county,rate,num1,num2,num3
El Dorado,8.8575,2.4125,47.19,4.43
Los Angeles,0.915,0.4125,1.9325,0.3175
San Bernardino,0.625,0.17,3.3325,0.3125
Riverside,0.5625,0.1525,2.99,0.28
Orange,0.4775,0.13,2.5525,0.24
California,0.39,0.21,0.69,0.1025
Alameda,0.0,0.0,3.92,0.0
Alpine,0.0,0.0,5505.79,0.0
Amador,0.0,0.0,221.16,0.0
Butte,0.0,0.0,23.65,0.0
Calaveras,0.0,0.0,149.77,0.0
Colusa,0.0,0.0,234.21,0.0
Contra Costa,0.0,0.0,5.09,0.0
Del Norte,0.0,0.0,236.92,0.0
Fresno,0.0,0.0,5.11,0.0
Glenn,0.0,0.0,181.18,0.0
Humboldt,0.0,0.0,40.76,0.0
Imperial,0.0,0.0,27.1,0.0
Inyo,0.0,0.0,376.8,0.0
Kern,0.0,0.0,5.59,0.0
Kings,0.0,0.0,35.33,0.0
Lake,0.0,0.0,106.96,0.0
Lassen,0.0,0.0,217.38,0.0
Madera,0.0,0.0,32.81,0.0
Marin,0.0,0.0,25.87,0.0
Mariposa,0.0,0.0,454.86,0.0
Mendocino,0.0,0.0,71.99,0.0
Merced,0.0,0.0,16.1,0.0
Modoc,0.0,0.0,810.74,0.0
Mono,0.0,0.0,477.22,0.0
Monterey,0.0,0.0,12.12,0.0
Napa,0.0,0.0,40.92,0.0
Nevada,0.0,0.0,73.16,0.0
Placer,0.0,0.0,15.2,0.0
Plumas,0.0,0.0,392.85,0.0
Sacramento,0.0,0.0,3.89,0.0
San Benito,0.0,0.0,82.49,0.0
San Diego,0.0,0.0,1.76,0.0
San Francisco,0.0,0.0,11.93,0.0
San Joaquin,0.0,0.0,6.67,0.0
San Luis Obispo,0.0,0.0,17.09,0.0
San Mateo,0.0,0.0,9.08,0.0
Santa Barbara,0.0,0.0,10.22,0.0
Santa Clara,0.0,0.0,3.23,0.0
Santa Cruz,0.0,0.0,16.61,0.0
Shasta,0.0,0.0,35.01,0.0
Sierra,0.0,0.0,3048.66,0.0
Siskiyou,0.0,0.0,148.63,0.0
Solano,0.0,0.0,13.63,0.0
Sonoma,0.0,0.0,12.36,0.0
Stanislaus,0.0,0.0,9.4,0.0
Sutter,0.0,0.0,55.88,0.0
Tehama,0.0,0.0,92.71,0.0
Trinity,0.0,0.0,625.23,0.0
Tulare,0.0,0.0,9.97,0.0
Tuolumne,0.0,0.0,143.37,0.0
Ventura,0.0,0.0,6.41,0.0
Yolo,0.0,0.0,18.15,0.0
Yuba,0.0,0.0,74.63,0.0
Unknown,,0.0,,
