county,rate,num1,num2,num3,deaths
Alpine,88.2625,24.0475,470.1775,44.13,1
Mendocino,45.3,32.495,61.5625,7.0975,40
San Francisco,43.81,39.58,48.375,2.2125,391
Lake,40.515,26.675,59.1675,7.8375,26
Trinity,30.35,8.27,77.71,15.17,4
Humboldt,26.82,18.8325,37.09,4.445,36
Kern,24.115,21.0525,27.495,1.6125,222
Shasta,23.235,16.89,31.315,3.52,41
Del Norte,22.355,8.465,48.445,8.995,6
Inyo,22.01,9.505,53.52,7.78,4
Sonoma,20.965,17.1625,25.365,2.0375,105
Orange,20.225,18.7,21.84,0.7925,649
Sutter,20.1575,12.635,30.835,4.3425,20
San Luis Obispo,20.1025,15.2075,26.0825,2.6775,56
Ventura,19.8825,17.0075,23.1025,1.5225,169
San Diego,19.29,17.8325,20.835,0.7575,645
Butte,18.51,13.4475,24.915,2.8,42
Yuba,16.64,8.945,28.3825,4.5725,13
Riverside,16.465,14.905,18.1425,0.8125,408
Nevada,16.3225,9.54,26.3175,3.975,16
California,14.9225,14.55,15.305,0.195,5961
Marin,14.3325,10.2025,19.6475,2.3,37
San Bernardino,14.27,12.7375,15.9375,0.805,314
Stanislaus,14.06,11.1425,17.5075,1.575,79
Contra Costa,13.7975,11.75,16.1025,1.085,160
Los Angeles,13.6875,12.98,14.425,0.3675,1396
Calaveras,13.59,5.145,29.45,5.47,6
San Joaquin,13.5425,11.0825,16.385,1.315,105
San Benito,12.96,6.505,24.79,3.91,8
El Dorado,11.635,7.51,17.415,2.375,22
Tuolumne,11.5975,4.58,24.98,4.5775,6
Mariposa,11.38,3.1,39.64,5.69,2
Tulare,10.175,7.595,13.3825,1.42,49
Lassen,10.0125,3.7925,27.8525,4.0275,3
Sacramento,9.7525,8.27,11.43,0.79,152
Alameda,9.475,8.055,11.0675,0.7475,159
Santa Cruz,9.455,6.225,13.805,1.8275,26
Napa,9.3275,5.14,15.7975,2.5025,13
San Mateo,9.29,7.275,11.695,1.09,72
Siskiyou,9.2325,3.2525,23.0475,3.9425,4
Placer,8.83,6.2,12.235,1.47,35
Madera,8.69,4.9825,14.375,2.205,14
Solano,8.3075,5.87,11.4325,1.3575,37
Amador,7.8975,4.08,21.0775,2.28,3
Tehama,7.8175,3.125,17.77,2.9925,5
Glenn,6.855,1.865,23.865,3.425,2
Santa Barbara,6.8375,4.6825,9.6675,1.21,31
Imperial,6.785,3.72,11.505,1.8275,13
Fresno,6.46,5.0,8.2175,0.795,66
Kings,6.45,3.175,11.7825,1.995,10
Santa Clara,6.3275,5.2725,7.54,0.5675,125
Merced,6.3,3.7975,9.895,1.45,18
Plumas,5.23,1.425,27.855,2.615,1
Colusa,4.3875,1.195,23.38,2.195,1
Monterey,3.8175,2.235,6.1025,0.92,17
Yolo,1.77,0.6225,4.4175,0.7575,4
Modoc,0.0,0.0,39.31,0.0,0
Mono,0.0,0.0,26.66,0.0,0
Sierra,0.0,0.0,119.07,0.0,0
Unknown,,0.0,,,72
