county,rate,num1,num2,num3
Sierra,162.601425,102.278825,248.36975,34.86375
Lake,162.4635,149.232,176.55575,6.89369
El Dorado,145.92325,138.914,153.19625,3.6200525
Mariposa,131.682,107.337625,159.92625,13.06185
Marin,129.54575,123.95475,135.3255,2.8841525
Placer,128.849,124.4125,133.4035,2.2832
Siskiyou,123.7815,110.018875,138.7945,7.228595
Mendocino,123.7175,114.04125,133.99575,5.0367925
Calaveras,122.538,108.6178,137.751,7.3161425
Tuolumne,115.89525,102.901,130.07775,6.8265025
Amador,111.98545,96.488125,129.27825,8.2033
Sutter,110.589925,102.731725,118.891875,4.0830475
Napa,107.29625,100.5024,114.4293,3.5226075
Sonoma,105.5494,101.87305,109.324775,1.89222
Solano,103.924825,100.0821,107.877375,1.97879
Nevada,102.7368,93.826425,112.26575,4.648725
Contra Costa,101.829225,99.5411,104.1571,1.17403
Shasta,100.462875,94.45635,106.751,3.1113975
Glenn,100.405575,87.040425,115.274625,7.06735
Ventura,100.372,97.7627,103.0335,1.339995
Humboldt,98.78225,92.324425,105.57315,3.3502325
Yuba,97.57045,89.259075,106.44815,4.3344725
Lassen,97.26035,82.0256,114.5339,8.1088175
Mono,96.7741,76.217875,121.2105,11.1243
Stanislaus,96.3907,93.359,99.496225,1.559105
San Mateo,92.360375,89.4605,95.3312,1.4914
Plumas,91.201675,72.98595,112.637375,9.8223675
Sacramento,90.5762,88.6773,92.50545,0.973865
Madera,90.2391,84.74575,95.99535,2.846445
Modoc,89.552125,65.594525,120.0418,13.284335
Fresno,89.10685,86.946925,91.306825,1.1087175
Trinity,87.850475,64.57735,116.79525,12.800025
Del Norte,85.9427,71.86375,102.008,7.510345
Colusa,85.0,71.361625,100.499925,7.2650875
Butte,84.9819,80.415625,89.740225,2.361705
Kings,84.5771,79.04135,90.3984,2.8718425
Kern,83.59565,81.42205,85.812575,1.116215
Orange,81.65155,80.412775,82.90475,0.6344475
Tulare,81.44955,78.589725,84.386875,1.4720175
San Joaquin,79.405975,77.095875,81.7679,1.18729
Santa Clara,78.76035,77.154775,80.391025,0.823375
California,77.878,77.53515,78.221975,0.17525
Riverside,75.8579,74.580325,77.15195,0.654585
San Bernardino,75.71435,74.35445,77.0929,0.6969425
San Luis Obispo,75.707425,72.071375,79.47955,1.8777975
Monterey,75.54915,72.53055,78.661175,1.555675
San Diego,75.2766,74.098425,76.468875,0.60347
Santa Cruz,74.571025,71.06675,78.203725,1.8093025
Inyo,73.8328,57.423775,93.512675,8.9079125
Tehama,73.6685,65.5173,82.554075,4.28036
Alameda,73.593,71.879025,75.337675,0.8796125
San Benito,71.947325,64.248125,80.315875,4.03901
Merced,71.5511,68.2421,74.979225,1.7081125
Santa Barbara,69.0851,66.412675,71.83775,1.37686
San Francisco,66.176025,63.34845,69.09765,1.4583075
Los Angeles,60.063225,59.454375,60.676775,0.311425
Yolo,58.029175,54.8852,61.3065,1.626275
Imperial,42.2819,38.875375,45.907275,1.774355
Alpine,13.698625,14.9297,72.97345,6.849325
Unknown,,,,
