county,population
Alameda County,225298
Sacramento County,229694
Fresno County,170453
Stanislaus County,90051
Tulare County,73485
San Joaquin County,119720
Santa Clara County,245692
Sonoma County,64250
San Mateo County,76677
Los Angeles County,1451177
San Diego County,489974
Contra Costa County,137011
Santa Barbara County,82301
Riverside County,366347
Orange County,460517
Ventura County,115545
Kern County,148180
San Bernardino County,343471
San Luis Obispo County,50003
San Francisco County,84295
