county,deaths,population
Alameda County,13,225298
Sacramento County,20,229694
Fresno County,19,170453
Stanislaus County,11,90051
San Joaquin County,15,119720
Santa Clara County,32,245692
Contra Costa County,20,137011
Los Angeles County,214,1451177
Sonoma County,10,64250
San Mateo County,12,76677
San Diego County,79,489974
Riverside County,69,366347
Kern County,28,148180
San Francisco County,16,84295
San Bernardino County,72,343471
Ventura County,25,115545
Orange County,104,460517
San Luis Obispo County,12,50003
