county,rate,num1,num2,num3,deaths
Trinity,7.8225,2.1325,41.6775,3.9125,1
Inyo,5.5125,1.5025,29.36,2.755,1
Calaveras,4.4275,1.9125,14.8525,1.565,2
Del Norte,3.63,0.99,19.34,1.815,1
Amador,2.675,0.73,14.2525,1.3375,1
Siskiyou,2.2925,0.625,12.2175,1.1475,1
Tuolumne,1.8575,0.5075,9.9025,0.93,1
San Francisco,1.84,1.0875,2.9525,0.44,16
Lake,1.56,0.425,8.305,0.78,1
Yuba,1.3275,0.3625,7.0775,0.665,1
Mendocino,1.14,0.31,6.08,0.57,1
Merced,1.1175,0.425,3.105,0.4475,3
Orange,1.04,0.7225,1.455,0.18,33
Nevada,1.01,0.275,5.3725,0.505,1
Yolo,0.9275,0.4,3.1075,0.3275,2
San Diego,0.9025,0.6125,1.2875,0.1625,30
Sacramento,0.8575,0.5075,1.4225,0.2125,13
Sonoma,0.8,0.22,2.04,0.4,4
Humboldt,0.7325,0.2,3.8975,0.365,1
Santa Cruz,0.73,0.2,2.535,0.365,2
San Joaquin,0.685,0.2875,1.54,0.2525,5
California,0.6075,0.5375,0.6925,0.04,239
Los Angeles,0.5725,0.4375,0.735,0.0725,58
Shasta,0.5575,0.1525,2.9625,0.2775,1
Alameda,0.545,0.27,1.0225,0.1725,9
El Dorado,0.5375,0.1475,2.8725,0.27,1
Placer,0.525,0.145,1.83,0.265,2
Santa Clara,0.5225,0.285,0.9275,0.14,10
Ventura,0.47,0.205,1.145,0.165,4
Santa Barbara,0.45,0.12,1.565,0.225,2
Butte,0.44,0.12,2.35,0.22,1
Riverside,0.42,0.2275,0.745,0.115,10
Fresno,0.41,0.1425,1.0225,0.1725,4
Marin,0.3825,0.105,2.0475,0.1925,1
Contra Costa,0.35,0.125,0.8775,0.1525,4
San Mateo,0.26,0.07,0.91,0.13,2
San Bernardino,0.235,0.0775,0.545,0.1,5
Monterey,0.23,0.0625,1.225,0.115,1
Kern,0.225,0.0975,0.76,0.08,2
Stanislaus,0.185,0.05,0.9825,0.0925,1
Alpine,0.0,0.0,344.43,0.0,0
Colusa,0.0,0.0,17.09,0.0,0
Glenn,0.0,0.0,13.13,0.0,0
Imperial,0.0,0.0,2.04,0.0,0
Kings,0.0,0.0,2.46,0.0,0
Lassen,0.0,0.0,11.95,0.0,0
Madera,0.0,0.0,2.38,0.0,0
Mariposa,0.0,0.0,21.19,0.0,0
Modoc,0.0,0.0,41.94,0.0,0
Mono,0.0,0.0,26.38,0.0,0
Napa,0.0,0.0,2.59,0.0,0
Plumas,0.0,0.0,19.8,0.0,0
San Benito,0.0,0.0,6.21,0.0,0
San Luis Obispo,0.0,0.0,1.3,0.0,0
Sierra,0.0,0.0,125.17,0.0,0
Solano,0.0,0.0,0.84,0.0,0
Sutter,0.0,0.0,3.82,0.0,0
Tehama,0.0,0.0,5.83,0.0,0
Tulare,0.0,0.0,0.8,0.0,0
Unknown,,0.0,,,0
