area,county,population,density
20056.92,San Bernardino County,2200340,109.70478019556343
10180.87,Inyo County,18172,1.7849162203230173
8131.91,Kern County,920651,113.21460763830392
7206.47,Riverside County,2477971,343.8536481800382
6277.88,Siskiyou County,43315,6.899622165444385
5957.99,Fresno County,1021649,171.47544725654123
4824.21,Tulare County,481649,99.83997379881887
4541.18,Lassen County,29965,6.5985052343223565
4206.63,San Diego County,3343827,794.8944879868208
4176.6,Imperial County,191619,45.87918402528372
4057.88,Los Angeles County,10198389,2513.2308003193784
3917.77,Modoc County,9384,2.395240149370688
3775.4,Shasta County,176451,46.737034486412036
3567.98,Humboldt County,134214,37.616242243510335
3506.34,Mendocino County,88297,25.182098712617716
3298.56,San Luis Obispo County,278574,84.45321594877765
3280.59,Monterey County,445181,135.70150491222614
3179.25,Trinity County,13180,4.145631831406778
3048.98,Mono County,13838,4.538566996175771
2949.71,Tehama County,63950,21.680097365503727
2735.08,Santa Barbara County,453498,165.80794711672053
2553.04,Plumas County,19124,7.490677780214959
2220.88,Tuolumne County,51732,23.293469255430278
2137.07,Madera County,161121,75.39341247596008
1934.97,Merced County,285801,147.703065163801
1843.13,Ventura County,850054,461.20132600521936
1707.88,El Dorado County,189089,110.715624048528
1636.46,Butte County,226910,138.65905674443616
1575.85,Sonoma County,500879,317.8468762889869
1494.83,Stanislaus County,561951,375.92970438110024
1448.82,Mariposa County,17571,12.12780055493436
1407.01,Placer County,396376,281.7151264027974
1391.32,San Joaquin County,775350,557.2765431388897
1389.42,Kings County,155100,111.62931295072764
1388.71,San Benito County,61719,44.44340431047519
1313.95,Glenn County,29185,22.211651889341297
1290.1,Santa Clara County,1974827,1530.7549802340905
1256.46,Lake County,64174,51.075243143434726
1150.73,1234,22786,19.801343494998825
1020.01,Calaveras County,44153,43.2868305212694
1014.69,Yolo County,225894,222.6236584572628
1006.37,Del Norte County,26840,26.67011139044288
964.64,Sacramento County,1558537,1615.6669845745564
957.77,Nevada County,98017,102.33876609206804
953.21,Sierra County,3098,3.2500708133569725
821.76,Solano County,445326,541.9173481308411
790.57,Orange County,3209272,4059.4406567413384
748.36,Napa County,139369,186.23256186861937
739.02,Alameda County,1678334,2271.0264945468325
738.33,Alpine County,1133,1.5345441740143295
715.94,Contra Costa County,1159507,1619.5589015839314
631.84,Yuba County,78123,123.64364396049632
602.41,Sutter County,99210,164.6885011868993
594.58,Amador County,37986,63.88711359278818
520.31,Marin County,258165,496.17535699871235
448.41,San Mateo County,774990,1728.3066836154412
445.17,Santa Cruz County,275023,617.7932025967608
46.87,San Francisco County,892429,19040.516321740986
