county,rate,num1,num2,num3
Modoc,28.525,7.775,99.35,14.265
Lake,25.8625,14.0725,44.545,7.11
Lassen,23.9625,11.5675,52.84,7.54
Mendocino,20.52,10.935,35.555,5.755
Yuba,20.4275,10.6675,37.675,5.84
San Benito,18.72,6.59,46.7225,7.99
Humboldt,18.085,11.1275,28.0175,4.03
Del Norte,16.6125,6.2925,46.215,6.6825
San Francisco,16.1075,12.35,20.6725,2.05
Imperial,15.06,4.1025,43.195,7.53
Kern,15.0275,11.065,19.955,2.18
San Joaquin,14.8775,10.5775,20.405,2.3925
Ventura,14.37,10.8875,18.61,1.9025
Orange,14.25,12.3,16.42,1.03
Shasta,14.2475,8.91,21.6975,3.0625
San Diego,13.6,11.8425,15.55,0.93
Santa Cruz,11.115,6.735,17.425,2.545
San Luis Obispo,10.035,6.3625,15.285,2.125
Kings,10.0125,4.195,22.595,3.735
Santa Barbara,9.79,6.04,15.0675,2.1625
California,9.57,9.0875,10.0725,0.2525
Trinity,9.2775,2.5275,49.4175,4.6375
San Mateo,9.2075,6.2725,13.1225,1.6575
Los Angeles,9.2,8.105,10.4,0.5725
Riverside,9.1525,7.2825,11.37,1.01
Madera,9.15,3.8325,20.6475,3.415
Fresno,8.9825,6.005,12.9875,1.685
Sonoma,8.845,5.955,12.675,1.6275
Butte,8.825,5.1325,14.3825,2.1825
Inyo,8.6725,2.3625,46.1975,4.335
Merced,7.7,3.4475,16.25,2.6625
Mariposa,6.9575,1.895,37.0675,3.48
Tuolumne,6.77,2.5625,18.835,2.7225
Amador,6.53,1.78,22.735,3.265
Contra Costa,6.51,4.545,9.06,1.1
Marin,6.2725,3.415,10.805,1.725
Plumas,6.2475,1.7025,33.275,3.1225
Santa Clara,6.0575,4.3175,8.2725,0.965
Placer,5.905,3.645,9.2675,1.325
Siskiyou,5.7925,2.5,19.4225,2.0475
Nevada,5.7625,2.305,13.1,2.2075
Stanislaus,5.4875,3.06,9.265,1.4525
San Bernardino,5.1675,3.6025,7.2175,0.8775
Yolo,4.7075,2.2725,10.3775,1.48
Sacramento,4.615,3.1925,6.4675,0.7975
Tulare,4.4,1.97,9.285,1.52
Sutter,4.335,1.18,15.105,2.17
Alameda,4.155,2.835,6.0575,0.7425
Napa,3.97,1.5025,11.0425,1.5975
Monterey,3.6875,1.2375,8.5775,1.6325
El Dorado,3.325,1.39,7.5,1.24
Solano,2.8125,1.1775,6.345,1.0475
Calaveras,2.635,0.7175,14.0325,1.3175
Alpine,0.0,0.0,493.17,0.0
Colusa,0.0,0.0,47.19,0.0
Glenn,0.0,0.0,25.15,0.0
Mono,0.0,0.0,39.02,0.0
Sierra,0.0,0.0,144.49,0.0
Tehama,0.0,0.0,8.29,0.0
Unknown,,0.0,,
