county,rate,num1,num2,num3
Lake,29.415,19.1525,44.69,5.815
Tuolumne,27.9325,16.06,45.675,6.9975
Plumas,21.73,7.65,54.2325,9.27
Calaveras,20.0775,9.5575,37.7825,6.5
Humboldt,19.155,12.59,27.9975,3.72
Siskiyou,18.3675,8.15,36.005,6.38
Trinity,15.3025,6.6075,51.3275,5.41
Mendocino,13.69,7.1275,23.865,3.9225
Lassen,12.76,4.495,31.85,5.445
Modoc,11.155,3.04,59.4225,5.5775
Imperial,11.1,6.845,17.0825,2.45
Del Norte,11.0075,4.1675,30.625,4.43
San Francisco,10.985,8.895,13.42,1.125
Santa Cruz,10.5775,7.1175,15.165,1.95
San Luis Obispo,9.9525,6.67,14.3225,1.85
Kern,8.5025,6.6975,10.65,0.9775
Shasta,8.3525,4.6975,13.7575,2.145
Butte,7.985,4.74,12.615,1.875
Orange,7.92,6.97,8.96,0.4975
Santa Barbara,7.6425,5.34,10.64,1.2875
San Diego,7.515,6.61,8.5125,0.4775
Merced,7.45,4.625,11.4375,1.6275
Sonoma,7.3675,5.215,10.13,1.1975
Madera,6.45,3.5275,11.5,1.735
Fresno,6.36,4.8825,8.1475,0.8025
San Joaquin,6.335,4.6475,8.4375,0.9275
Ventura,6.23,4.6825,8.135,0.8475
Yolo,6.105,3.3175,10.375,1.66
Riverside,5.7175,4.8125,6.7475,0.4825
Mariposa,5.705,1.555,30.385,2.8525
Napa,5.615,2.78,10.77,1.7125
Amador,5.405,1.475,18.825,2.705
Stanislaus,5.3875,3.615,7.7325,0.995
Yuba,5.37,1.89,13.4025,2.29
San Benito,5.1025,1.93,14.1925,2.0525
California,5.0875,4.87,5.32,0.1125
Tehama,4.74,1.795,13.185,1.9075
Solano,4.585,2.82,7.0675,1.015
Contra Costa,4.35,3.2325,5.73,0.61
El Dorado,4.3375,2.2275,8.25,1.2825
Alameda,4.15,3.2375,5.245,0.495
Nevada,4.045,1.745,9.835,1.43
Placer,3.9975,2.3075,6.5275,0.995
Glenn,3.57,0.9725,19.015,1.785
Santa Clara,3.44,2.6675,4.3725,0.4225
Kings,3.3125,1.325,7.525,1.265
San Mateo,3.2675,2.1175,4.8225,0.65
Monterey,3.2275,1.79,5.3925,0.85
Los Angeles,2.78,2.4725,3.1225,0.1625
Sacramento,2.6625,1.9075,3.625,0.4175
Tulare,2.3925,1.2325,4.25,0.7
San Bernardino,1.785,1.2625,2.4475,0.29
Marin,1.1475,0.435,3.1925,0.4625
Alpine,0.0,0.0,332.33,0.0
Colusa,0.0,0.0,17.17,0.0
Inyo,0.0,0.0,20.2,0.0
Mono,0.0,0.0,26.52,0.0
Sierra,0.0,0.0,124.33,0.0
Sutter,0.0,0.0,3.82,0.0
Unknown,,0.0,,
