county,rate,num1,num2,num3
Plumas,5.4325,1.48,28.9375,2.715
Lassen,3.19,0.87,16.995,1.595
Mendocino,2.28,0.62,7.945,1.14
Calaveras,2.23,0.6075,11.885,1.115
Humboldt,2.2125,0.6,6.3425,1.1025
Tuolumne,1.8625,0.5075,9.92,0.93
Tehama,1.58,0.43,8.4175,0.79
Lake,1.5475,0.4225,8.2475,0.775
San Francisco,1.27,0.795,2.1375,0.2875
Santa Cruz,1.095,0.415,3.0475,0.44
Nevada,1.0125,0.275,5.3875,0.505
Kern,0.905,0.465,1.7275,0.2675
Sonoma,0.7975,0.2825,1.9875,0.34
Merced,0.745,0.205,2.595,0.375
San Luis Obispo,0.71,0.195,2.475,0.355
San Diego,0.695,0.45,1.04,0.1375
Santa Barbara,0.675,0.1875,1.9325,0.3375
Ventura,0.5875,0.2375,1.3325,0.225
Orange,0.5675,0.3425,0.895,0.1325
Solano,0.46,0.125,1.6,0.23
Butte,0.4425,0.12,2.365,0.2225
Santa Clara,0.365,0.19,0.715,0.1075
Contra Costa,0.3575,0.1275,0.8875,0.1525
Alameda,0.2425,0.1125,0.5925,0.0825
Riverside,0.2125,0.0875,0.4825,0.08
San Bernardino,0.1425,0.0375,0.4025,0.0675
San Joaquin,0.1375,0.0375,0.735,0.07
San Mateo,0.13,0.035,0.695,0.065
Los Angeles,0.12,0.0625,0.2075,0.0325
Fresno,0.1025,0.0275,0.5475,0.0525
Alpine,0.0,0.0,332.33,0.0
Amador,0.0,0.0,9.97,0.0
Colusa,0.0,0.0,17.17,0.0
Del Norte,0.0,0.0,13.54,0.0
El Dorado,0.0,0.0,2.0,0.0
Glenn,0.0,0.0,13.17,0.0
Imperial,0.0,0.0,2.05,0.0
Inyo,0.0,0.0,20.2,0.0
Kings,0.0,0.0,2.44,0.0
Madera,0.0,0.0,2.38,0.0
Marin,0.0,0.0,1.41,0.0
Mariposa,0.0,0.0,21.04,0.0
Modoc,0.0,0.0,41.15,0.0
Mono,0.0,0.0,26.52,0.0
Monterey,0.0,0.0,0.85,0.0
Napa,0.0,0.0,2.59,0.0
Placer,0.0,0.0,0.98,0.0
Sacramento,0.0,0.0,0.25,0.0
San Benito,0.0,0.0,6.27,0.0
Shasta,0.0,0.0,2.05,0.0
Sierra,0.0,0.0,124.33,0.0
Siskiyou,0.0,0.0,8.47,0.0
Stanislaus,0.0,0.0,0.69,0.0
Sutter,0.0,0.0,3.82,0.0
Trinity,0.0,0.0,28.23,0.0
Tulare,0.0,0.0,0.8,0.0
Yolo,0.0,0.0,1.73,0.0
Yuba,0.0,0.0,4.95,0.0
