county,rate,num1,num2,num3
Mendocino,40.925,17.6675,137.2475,14.47
Sutter,29.575,8.06,102.995,14.785
San Luis Obispo,27.205,14.06,55.89,7.855
Tehama,24.565,6.6925,130.85,12.2825
San Benito,22.615,6.1625,120.4675,11.3075
Sonoma,17.31,5.8175,40.23,7.6375
Orange,16.95,11.755,23.66,2.895
San Bernardino,14.1575,9.2375,21.1,2.835
Kern,13.08,6.155,24.6875,4.275
Napa,12.12,3.3025,64.5675,6.06
Humboldt,10.9625,2.9875,58.3975,5.4825
Riverside,10.6575,6.66,16.415,2.3225
San Diego,10.01,6.39,15.12,2.085
Kings,9.24,2.5175,49.2175,4.62
El Dorado,8.9975,2.4525,47.93,4.5
Santa Cruz,8.795,2.395,30.63,4.4
California,8.79225,7.705,10.006,0.58
Madera,8.7875,2.395,46.805,4.3925
Sacramento,8.19,4.68,15.19,2.045
Placer,8.085,2.205,28.155,4.04
Los Angeles,7.705,5.73,10.18,1.09
Imperial,7.26,1.9775,38.67,3.63
San Mateo,7.1975,2.725,20.0225,2.8975
Butte,6.43,1.7525,34.2525,3.215
Marin,6.355,1.7325,33.86,3.1775
Monterey,6.25,2.6975,20.96,2.21
Santa Clara,5.8875,2.76,11.8125,1.9175
Fresno,5.41,1.9025,13.5025,2.305
Ventura,5.3925,2.0425,15.0025,2.17
Santa Barbara,5.39,1.47,18.77,2.695
Stanislaus,4.94,1.345,17.205,2.47
Alameda,4.16,1.13,10.66,2.08
Contra Costa,4.105,1.555,11.42,1.6525
Merced,4.1,1.1175,21.8475,2.05
Solano,3.7675,1.0275,20.07,1.8825
San Joaquin,3.515,0.96,12.24,1.76
Tulare,2.57,0.7,13.6925,1.285
Alpine,0.0,0.0,4053.71,0.0
Amador,0.0,0.0,228.98,0.0
Calaveras,0.0,0.0,178.12,0.0
Colusa,0.0,0.0,229.41,0.0
Del Norte,0.0,0.0,256.35,0.0
Glenn,0.0,0.0,187.82,0.0
Inyo,0.0,0.0,391.6,0.0
Lake,0.0,0.0,110.58,0.0
Lassen,0.0,0.0,255.99,0.0
Mariposa,0.0,0.0,464.01,0.0
Modoc,0.0,0.0,844.14,0.0
Mono,0.0,0.0,483.47,0.0
Nevada,0.0,0.0,80.46,0.0
Plumas,0.0,0.0,400.1,0.0
San Francisco,0.0,0.0,11.49,0.0
Shasta,0.0,0.0,37.16,0.0
Sierra,0.0,0.0,3726.14,0.0
Siskiyou,0.0,0.0,164.54,0.0
Trinity,0.0,0.0,701.31,0.0
Tuolumne,0.0,0.0,148.39,0.0
Yolo,0.0,0.0,16.62,0.0
Yuba,0.0,0.0,67.79,0.0
Unknown,,0.0,,
