county,rate,num1,num2,num3
Humboldt,3.725,1.56,8.4075,1.39
Amador,2.6325,0.7175,14.0225,1.3175
San Francisco,2.575,1.6875,3.8125,0.51
Madera,2.48,0.68,6.36,1.24
Siskiyou,2.3075,0.63,12.3,1.155
Calaveras,2.265,0.6175,12.0625,1.1325
Nevada,2.04,0.555,7.105,1.02
Marin,1.9375,0.65,4.505,0.8525
Butte,1.7625,0.62,4.4,0.7525
Kern,1.63,0.9275,2.6725,0.4125
Stanislaus,1.6,0.7325,3.04,0.53
Lake,1.5575,0.425,8.3025,0.78
Placer,1.2625,0.6075,2.7825,0.395
San Joaquin,1.16,0.555,2.1825,0.375
Mendocino,1.1325,0.3075,6.035,0.5675
El Dorado,1.06,0.29,3.685,0.53
Sacramento,1.025,0.605,1.6475,0.245
Sutter,1.0075,0.275,5.37,0.505
Sonoma,1.0,0.42,2.25,0.3725
Ventura,0.94,0.4375,1.8275,0.32
Solano,0.9,0.315,2.2425,0.385
Alameda,0.8925,0.52,1.4575,0.2225
Orange,0.8425,0.5625,1.2125,0.1525
San Diego,0.84,0.565,1.205,0.155
Santa Cruz,0.725,0.2,2.53,0.365
San Luis Obispo,0.72,0.195,2.5,0.36
Napa,0.7175,0.195,3.825,0.36
Merced,0.7,0.19,2.435,0.35
Contra Costa,0.6875,0.3175,1.34,0.23
California,0.66,0.5825,0.745,0.04
Fresno,0.585,0.265,1.2375,0.205
Shasta,0.5675,0.155,3.0175,0.2825
Santa Clara,0.4575,0.235,0.8425,0.13
Monterey,0.45,0.12,1.565,0.225
Yolo,0.4425,0.12,2.355,0.2225
San Mateo,0.26,0.07,0.9,0.13
Los Angeles,0.2275,0.145,0.3325,0.045
Tulare,0.2075,0.0575,1.11,0.105
Riverside,0.2,0.065,0.4675,0.0875
San Bernardino,0.18,0.05,0.47,0.09
Alpine,0.0,0.0,325.59,0.0
Colusa,0.0,0.0,16.19,0.0
Del Norte,0.0,0.0,13.74,0.0
Glenn,0.0,0.0,12.64,0.0
Imperial,0.0,0.0,1.93,0.0
Inyo,0.0,0.0,20.3,0.0
Kings,0.0,0.0,2.38,0.0
Lassen,0.0,0.0,12.31,0.0
Mariposa,0.0,0.0,20.99,0.0
Modoc,0.0,0.0,39.31,0.0
Mono,0.0,0.0,26.66,0.0
Plumas,0.0,0.0,19.29,0.0
San Benito,0.0,0.0,5.98,0.0
Santa Barbara,0.0,0.0,0.81,0.0
Sierra,0.0,0.0,119.07,0.0
Tehama,0.0,0.0,5.77,0.0
Trinity,0.0,0.0,27.99,0.0
Tuolumne,0.0,0.0,7.13,0.0
Yuba,0.0,0.0,4.72,0.0
Unknown,,0.0,,
